journal,url,issn,publisher,date
International Journal of Plant Breeding and Genetics,https://internationalscholarsjournals.org/journal/ijpbg,2756-3847,International Scholars Journals,2022-08-12
Advanced Journal of Environmental Science and Technology,https://internationalscholarsjournals.org/journal/ajes,2756-3251,International Scholars Journals,2022-08-12
Advanced Journal of Microbiology Research,https://internationalscholarsjournals.org/journal/ajmr,2736-1756,International Scholars Journals,2022-08-12
African Journal of Botany,https://internationalscholarsjournals.org/journal/isjs,2756-3294,International Scholars Journals,2022-08-12
African Journal of DNA and Cell Biology,https://internationalscholarsjournals.org/journal/ajdcb,</span><s,International Scholars Journals,2022-08-12
African Journal of Ecology and Ecosystems,https://internationalscholarsjournals.org/journal/ajee,2756-3367,International Scholars Journals,2022-08-12
African Journal of Environmental and Waste Management,https://internationalscholarsjournals.org/journal/ajewm,2375-1266,International Scholars Journals,2022-08-12
African Journal of Environmental Economics and Management,https://internationalscholarsjournals.org/journal/ajeem,2375-0707,International Scholars Journals,2022-08-12
African Journal of Immunology Research,https://internationalscholarsjournals.org/journal/ajiroa,2756-3375,International Scholars Journals,2022-08-12
African Journal of Parasitology Research,https://internationalscholarsjournals.org/journal/ajproaj,2756-3391,International Scholars Journals,2022-08-12
African Journal of Virology Research,https://internationalscholarsjournals.org/journal/ajvr,2756-3413,International Scholars Journals,2022-08-12
African Journal of Water Conservation and Sustainability,https://internationalscholarsjournals.org/journal/ajwcs,2375-0936,International Scholars Journals,2022-08-12
International Journal of Bacteriology and Mycology,https://internationalscholarsjournals.org/journal/ijbroaj,2756-3669,International Scholars Journals,2022-08-12
International Journal of Biochemistry and Biotechnology,https://internationalscholarsjournals.org/journal/ijbb,2169-3048,International Scholars Journals,2022-08-12
International Journal of Histology and Cytology,https://internationalscholarsjournals.org/journal/ijhc,2756-3707,International Scholars Journals,2022-08-12
International Journal of Microbiology Research and Reviews,https://internationalscholarsjournals.org/journal/ijmr,2329-9800,International Scholars Journals,2022-08-12
International Journal of Nematology and Entomology,https://internationalscholarsjournals.org/journal/ijneoaj,2756-3839,International Scholars Journals,2022-08-12
International Journal of Plant and Animal Sciences,https://internationalscholarsjournals.org/journal/ijpas,2756-388X,International Scholars Journals,2022-08-12
African Journal of AIDS and HIV Research,https://internationalscholarsjournals.org/journal/ajahr,2736-1748,International Scholars Journals,2022-08-12
African Journal of Dentistry,https://internationalscholarsjournals.org/journal/ajd,2756-3421,International Scholars Journals,2022-08-12
African Journal of Infectious Diseases Research,https://internationalscholarsjournals.org/journal/ajidd,2756-3340,International Scholars Journals,2022-08-12
African Journal of Internal Medicine,https://internationalscholarsjournals.org/journal/ajim,2326-7283,International Scholars Journals,2022-08-12
African Journal of Malaria and Tropical Diseases,https://internationalscholarsjournals.org/journal/ajmtd,2736-173X,International Scholars Journals,2022-08-12
African Journal of Medical Case Reports,https://internationalscholarsjournals.org/journal/ajmcr,2756-3316,International Scholars Journals,2022-08-12
African Journal of Medical Research,https://internationalscholarsjournals.org/journal/ijmms,2167-0404,International Scholars Journals,2022-08-12
African Journal of Medicine and Surgery,https://internationalscholarsjournals.org/journal/ajmsoa,2756-3324,International Scholars Journals,2022-08-12
African Journal of Nursing and Midwifery,https://internationalscholarsjournals.org/journal/ajnm,2756-3332,International Scholars Journals,2022-08-12
International Journal of Anatomy and Physiology,https://internationalscholarsjournals.org/journal/ijap,2326-7275,International Scholars Journals,2022-08-12
International Journal of Diseases and Disorders,https://internationalscholarsjournals.org/journal/ijdd,2329-9835,International Scholars Journals,2022-08-12
International Journal of Medical Advances and Discoveries,https://internationalscholarsjournals.org/journal/ijmad,2756-3812,International Scholars Journals,2022-08-12
International Journal of Medical Sociology and Anthropology,https://internationalscholarsjournals.org/journal/ijmsa,2756-3820,International Scholars Journals,2022-08-12
International Journal of Medicinal Plants Research,https://internationalscholarsjournals.org/journal/ijmpr,2169-303X,International Scholars Journals,2022-08-12
International Journal of Obstetrics and Gynecology,https://internationalscholarsjournals.org/journal/ijog,2736-1594,International Scholars Journals,2022-08-12
International Journal of Pharmacy and Pharmacology,https://internationalscholarsjournals.org/journal/ijpp,2326-7267,International Scholars Journals,2022-08-12
International Journal of Public Health and Epidemiology,https://internationalscholarsjournals.org/journal/ijphe,2326-7291,International Scholars Journals,2022-08-12
International Journal of Urology and Nephrology,https://internationalscholarsjournals.org/journal/ijun,2756-3855,International Scholars Journals,2022-08-12
International Journal of Veterinary Medicine and Animal Health,https://internationalscholarsjournals.org/journal/ijvws,2756-3871,International Scholars Journals,2022-08-12
African Journal of Chemistry,https://internationalscholarsjournals.org/journal/ajcoaj,4391-3199,International Scholars Journals,2022-08-12
African Journal of Mathematics and Mathematical Sciences,https://internationalscholarsjournals.org/journal/ajmms,</span><s,International Scholars Journals,2022-08-12
International Journal of Petroleum and Gas Engineering,https://internationalscholarsjournals.org/journal/ijpeoaj,</span><s,International Scholars Journals,2022-08-12
International Journal of Law and Legal Studies,https://internationalscholarsjournals.org/journal/ijlls,2736-1608,International Scholars Journals,2022-08-12
African Journal of Estate and Property Management,https://internationalscholarsjournals.org/journal/ajepm,2756-3308,International Scholars Journals,2022-08-12
African Journal of Gender and Women Studies,https://internationalscholarsjournals.org/journal/ajgws,2736-1578,International Scholars Journals,2022-08-12
African Journal of Geography and Regional Planning,https://internationalscholarsjournals.org/journal/ajgrp,2736-1586,International Scholars Journals,2022-08-12
African Journal of Library and Information Science,https://internationalscholarsjournals.org/journal/flics,2756-3383,International Scholars Journals,2022-08-12
African Journal of Philosophy and Religious Studies,https://internationalscholarsjournals.org/journal/ajpr,2756-3405,International Scholars Journals,2022-08-12
African Journal of Political Science,https://internationalscholarsjournals.org/journal/ajps,1027-0353,International Scholars Journals,2022-08-12
Global Journal of Business Management,https://internationalscholarsjournals.org/journal/gjbm,2736-1721,International Scholars Journals,2022-08-12
Global Journal of Sociology and Anthropology,https://internationalscholarsjournals.org/journal/gjsa,2756-3456,International Scholars Journals,2022-08-12
"International Journal of Accounting, Auditing and Taxation",https://internationalscholarsjournals.org/journal/ajaat,2756-3634,International Scholars Journals,2022-08-12
International Journal of Adult and Continuing Education,https://internationalscholarsjournals.org/journal/ijace,</span><s,International Scholars Journals,2022-08-12
"International Journal of Banking, Economics and Finance",https://internationalscholarsjournals.org/journal/ijbef,2756-3677,International Scholars Journals,2022-08-12
International Journal of Educational Research and Reviews,https://internationalscholarsjournals.org/journal/ijerr,2329-9843,International Scholars Journals,2022-08-12
International Journal of Management and Business Studies,https://internationalscholarsjournals.org/journal/ijmbs,2167-0439,International Scholars Journals,2022-08-12
