"publisher","journals","reviews"
"American Anthropological Association",21,"1428"
"Turkiye Klinikleri",19,"1371"
"Open Science Publishers LLP",18,"2680"
"Canadian Center of Science and Education",18,"2143"
"SAE International",18,"2075"
"Society for Industrial and Applied Mathematics Publications",18,"1851"
"Vilnius Gediminas Technical University",18,"1316"
"National Research Council of Canada",18,"1077"
"American Scientific Publishers",18,"1049"
"American Geophysical Union",17,"8392"
"SPIE",17,"5004"
"American Physical Society",16,"31293"
"American Society for Microbiology",15,"32567"
"American Mathematical Society",15,"2592"
"Cogent OA",14,"6548"
"IWA Publishing",14,"5933"
"JAMA Network",14,"4310"
"Quintessence Publishing Company",14,"2696"
"Sami Publishing Company (SPC)",14,"2152"
"ChemPubSoc Europe",13,"8827"
"American Physiological Society",13,"6194"
"Techno Press",13,"2181"
"Institute for Operations Research and the Management Sciences (INFORMS)",12,"1526"
"The Optical Society",11,"13331"
"BioScientifica Ltd.",11,"12588"
"ASTM International",11,"6142"
"American Meteorological Society",11,"3704"
"American Association for the Advancement of Science",11,"3572"
"British Psychological Society (BPS)",11,"1611"
"Mashhad University of Medical Sciences",11,"1464"
"The Royal Society",10,"28129"
"Spandidos Publications",10,"9423"
"American Institute of Aeronautics and Astronautics Inc. (AIAA)",10,"3998"
"Academy of Management",10,"3984"
"Psychology Press Ltd",10,"2192"
"Cold Spring Harbor Laboratory Press",10,"1194"
"International Scientific Information",9,"4299"
"American Association for Cancer Research",9,"3351"
"Geological Society of London",9,"1588"
"World Health Organization",9,"1315"
"Universiti Putra Malaysia",9,"1025"
"Public Library of Science",8,"71546"
"Portland Press Ltd.",8,"10647"
"Society of Petroleum Engineers (SPE)",8,"3632"
"Inter-Research",8,"3514"
"ASM International",8,"3056"
"American College of Cardiology",8,"2567"
"Geological Society of America",8,"1259"
"American Society of Clinical Oncology",7,"4657"
"Royal Entomological Society",7,"4008"
"Microbiology Society",7,"3013"
"Entomological Society of America",7,"2649"
"F1000",7,"2318"
"Scientific Foundation SPIROSKI",7,"2284"
"American Society of Agricultural and Biological Engineers",7,"2182"
"British Ecological Society",6,"13044"
"PeerJ",6,"8723"
"British Editorial Society of Bone & Joint Surgery",6,"6432"
"American Speech-Language-Hearing Association (ASHA)",6,"6166"
"European Respiratory Society",6,"4955"
"Endocrine Society",6,"2235"
"Oriental Scientific Publishing Company",6,"2048"
"Shanghai Jiao Tong University",6,"1895"
"American Society for Engineering Education",6,"1291"
"The Company of Biologists",5,"5670"
"European Society of Cardiology",5,"3391"
"Gesellschaft Deutscher Chemiker",5,"2612"
"American Psychiatric Association Publishing",5,"2549"
"American Phytopathological Society",5,"2030"
"EMW Publishing",5,"2018"
"American Diabetes Association Inc.",5,"1889"
"Ivyspring International Publisher",5,"1830"
"FEMS - Federation of European Microbiological Societies",5,"1694"
"Universidade Estadual Paulista Júlio de Mesquita Filho",5,"1619"
"American Thoracic Society",5,"1386"
"Royal College of Psychiatrists",5,"1218"
"American Institute of Chemical Engineers",4,"11030"
"Society of Chemical Industry",4,"8434"
"American Ceramic Society (ACERS)",4,"8344"
"British Institute of Radiology",4,"8285"
"Society of Plastics Engineers",4,"7896"
"American Academy of Neurology",4,"7216"
"American College of Rheumatology",4,"5866"
"Federation of European Biochemical Societies",4,"4764"
"Ecological Society of America",4,"4760"
"International Union of Biochemistry and Molecular Biology",4,"3671"
"The Minerals, Metals & Materials Society",4,"2826"
"American Heart Association",4,"2606"
"Society for Applied Microbiology",4,"2415"
"American Academy of Pediatrics",4,"2095"
"Royal Meteorological Society",4,"1884"
"Magnolia Press",4,"1752"
"American Society for Nutrition",4,"1704"
"Society of Exploration Geophysicists",4,"1638"
"Radiological Society of North America Inc.",4,"1539"
"Enviro Research Publishers",4,"1468"
"Political Studies Association",4,"1255"
"Canadian Medical Association",4,"1001"
"American Association for the Study of Liver Diseases",3,"9051"
"Nordic Society Oikos",3,"5921"
"Institute of Food Technologists",3,"5133"
"American Cancer Society",3,"4637"
"International Literacy Association",3,"4365"
"Royal Pharmaceutical Society",3,"4147"
"The Nutrition Society",3,"4053"
"Universidade Federal de Santa Maria",3,"3884"
"American Association of Anatomists",3,"3522"
"American Society for Biochemistry and Molecular Biology",3,"2705"
"World Obesity",3,"2441"
"Universidade de São Paulo",3,"1826"
"International Association for Vegetation Science",3,"1747"
"American Society of Hematology",3,"1701"
"American Society of Nephrology",3,"1672"
"National Strength and Conditioning Association (NSCA)",3,"1628"
"British Educational Research Association (BERA)",3,"1489"
"Taylor's University",3,"1411"
"American Gastroenterological Association",3,"1382"
"Acoustical Society of America",3,"1354"
"Institution of Chemical Engineers",3,"1305"
"British Society for Plant Pathology",3,"1268"
"Rockefeller University Press",3,"1228"
"Society for Research in Child Development",3,"1184"
"Royal Statistical Society",3,"1160"
"American Concrete Institute",3,"1149"
"Mayo Clinic",3,"1045"
"International Society for Magnetic Resonance in Medicine",2,"21199"
"American Dairy Science Association",2,"13730"
"British Association of Dermatologists",2,"12144"
"American Society of Neuroradiology",2,"7347"
"Association for the Study of Medical Education",2,"7133"
"British Pharmacological Society",2,"6775"
"Impact Journals LLC",2,"6263"
"European Academy of Allergy and Clinical Immunology",2,"5475"
"Sociedade Brasileira de Cardiologia",2,"4054"
"Genetics Society of America",2,"3890"
"The Royal Australasian College of Physicians",2,"3137"
"International Federation of Automatic Control (IFAC)",2,"3094"
"Society for the Study of Addiction",2,"3089"
"Chartered Institution of Water and Environmental Management",2,"2863"
"Society for Neuroscience",2,"2704"
"Sociedade Brasileira de Química",2,"2582"
"Society for Investigative Dermatology (SID)",2,"2549"
"Society of Environmental Toxicology & Chemistry (SETAC)",2,"2169"
"Royal Australian College of General Practitioners",2,"2127"
"Society of Industrial Chemistry",2,"2123"
"Royal College of General Practitioners",2,"2013"
"Sage Publications Ltd",2,"2010"
"Association for Research in Vision and Ophthalmology Inc.",2,"1962"
"Association for Child and Adolescent Mental Health",2,"1950"
"Royal College of Obstetricians and Gynaecologists",2,"1896"
"Centers for Disease Control and Prevention (CDC)",2,"1866"
"British Society for Immunology",2,"1856"
"British Society of Soil Science",2,"1790"
"Physiological Society",2,"1761"
"Associação Brasileira de Saúde Coletiva",2,"1758"
"American Society of Plant Biologists",2,"1667"
"The Journal of Rheumatology Publishing Company Ltd.",2,"1527"
"International Society of Blood Transfusion",2,"1421"
"British Institute of Learning Disabilities",2,"1401"
"Sociedade Brasileira de Medicina Tropical",2,"1381"
"Royal Society of Tropical Medicine and Hygiene",2,"1360"
"American Association of Pharmaceutical Scientists",2,"1314"
"Ecological Society of Australia",2,"1202"
"Medycyna Praktyczna",2,"1066"
"Universiti Malaysia Terengganu",2,"1057"
"American Academy of Sleep Medicine",2,"1049"
"International Society of Feline Medicine",2,"1029"
"Universidade Federal do Rio de Janeiro",2,"981"
"International Society of Dermatology",1,"11583"
"British Journal of Surgery Society",1,"11156"
"American Laryngological Association (ALA)",1,"9968"
"American Society of Transplant Surgeons",1,"8215"
"Press of International Journal of Ophthalmology",1,"7231"
"Japanese Dermatological Association",1,"6516"
"Centre National de la Recherche Scientifique",1,"5252"
"National Academy of Sciences",1,"4752"
"Journal of Gastroenterology and Hepatology Foundation",1,"4580"
"International Society of Paediatric Oncology",1,"4508"
"American Society for Bone and Mineral Research (ASBMR)",1,"4502"
"European Liver and Intestine Transplant Association",1,"4430"
"CHEST",1,"4357"
"European Society for Evolutionary Biology",1,"4174"
"eLife",1,"4064"
"European Federation of Periodontology",1,"4061"
"International Society of Cardiovascular Ultrasound",1,"4060"
"American Academy of Otolaryngic Allergy",1,"4052"
"American Association of Blood Banks",1,"3919"
"Union for International Cancer Control",1,"3840"
"International Society of Ultrasound in Obstetrics and Gynecology",1,"3832"
"Japan Pediatric Society",1,"3825"
"International Society on Thrombosis and Haemostasis",1,"3579"
"Federation of American Societies for Experimental Biology (FASEB)",1,"3544"
"International Federation for Artificial Organs (IFAO)",1,"3490"
"Chinese Automatic Control Society",1,"3482"
"American College of Veterinary Surgeons",1,"3438"
"BJU International Company",1,"3347"
"International Association for the Study of the Liver",1,"3250"
"Associação Brasileira de Enfermagem",1,"3231"
"The American Psychosocial Oncology Society",1,"3229"
"Diabetes UK",1,"3211"
"Association of Coloproctology of Great Britain and Ireland",1,"3119"
"Clinical Endocrinology Trust (CET)",1,"3090"
"British Endodontic Society",1,"3001"
"American College of Prosthodontists",1,"2976"
"New Phytologist Trust",1,"2972"
"Royal Australasian College of Surgeons",1,"2968"
"Japanese Urological Association",1,"2898"
"Asia Pacific League of Associations for Rheumatology",1,"2875"
"Society of Chemical Industry (SCI)",1,"2793"
"International Society for Prenatal Diagnosis",1,"2784"
"British Small Animal Veterinary Association",1,"2765"
"Orthopaedic Research Society",1,"2731"
"Society for Academic Emergency Medicine (SAEM)",1,"2721"
"Foundation Acta Paediatrica (FAP)",1,"2698"
"British Association of Otolaryngologists and The Oto-Rhino-Laryngology Research Society",1,"2669"
"European Society for Domestic Animal Reproduction",1,"2637"
"Federation of European Neuroscience Societies",1,"2627"
"British Equine Veterinary Association",1,"2565"
"Canadian Society for Chemical Engineering",1,"2544"
"International Society for Neurochemistry",1,"2539"
"British Society for Haematology",1,"2470"
"American Association for Respiratory Care (AARC)",1,"2458"
"Australasian Hair and Wool Research Society (AHWRS)",1,"2450"
"Japanese Geriatrics Society",1,"2408"
"American Society of Dermatopathology",1,"2372"
"American Association of Physicists in Medicine",1,"2343"
"American Academy for Cerebral Palsy and Developmental Medicine",1,"2308"
"European Association for Osseointegration (EAO)",1,"2297"
"International Society for Apheresis (ISA)",1,"2253"
"European Federation for Neurological Societies",1,"2202"
"Nordic Federation of Societies of Obstetrics and Gynecology (NFOG)",1,"2198"
"American Geriatrics Society",1,"2192"
"Society for Psychophysiological Research",1,"2173"
"Scandinavian Foundation of Medicine and Sceince in Sports",1,"2139"
"Japan Gastroenterological Endoscopy Society",1,"2065"
"International Society for Sexual Medicine",1,"2063"
"British Society for Allergy & Clinical Immunology",1,"2028"
"European Society of Neurogastroenterology and Motility",1,"2022"
"European Federation of Immunological Societies",1,"2008"
"Academia Brasileira de Ciências",1,"1994"
"International Federation of Adipose Therapeutics and Science",1,"1990"
"Asian Pacific Society of Nephrology",1,"1987"
"Association of Cardiovascular Thoracic Surgeons of Quebec",1,"1891"
"Sociedade Brasileira de Cirurgia Cardiovascular",1,"1878"
"Society for Conservation Biology",1,"1847"
"JCDR Research and Publications (Pvt) Limited",1,"1831"
"Scandinavian Society of Anaesthesiology and Intensive Care Medicine",1,"1819"
"MYJoVE Corporation",1,"1810"
"Australasian College of Dermatologists",1,"1794"
"Fass Inc.",1,"1790"
"American Headache Society",1,"1774"
"American Institute of Ultrasound in Medicine",1,"1774"
"American Society of Andrology & European Academy of Andrology",1,"1757"
"Associação Brasileira de Metalurgia, Materiais e Mineração",1,"1740"
"British Society for Geomorphology",1,"1735"
"Veterinary Emergency and Critical Care Society",1,"1671"
"Makerere University Medical School",1,"1665"
"Hemostasis & Thrombosis Research Society (HTRS)",1,"1663"
"American College of Physicians",1,"1648"
"International Society for Cerebral Blood flow & Metabolism",1,"1644"
"International Council for Small Business",1,"1608"
"American College of Veterinary Radiology",1,"1604"
"European Sleep Research Society",1,"1566"
"German Botanical Society",1,"1535"
"European Association of Geoscientists & Engineers",1,"1524"
"High Blood Pressure Research Council of Australia",1,"1508"
"Society of Dyers and Colourists",1,"1502"
"Royal Australian and New Zealand College of Radiologists",1,"1481"
"International Association of Oral Pathologists",1,"1476"
"Yale University on behalf of the School of Forestry and Environmental Studies.",1,"1474"
"University Association for Contemporary European Studies",1,"1470"
"British Ornithologists' Union",1,"1468"
"Escola de Enfermagem de Ribeirão Preto, Universidade de São Paulo",1,"1438"
"Japanese Society of Animal Science",1,"1431"
"The Korean Society of Radiology",1,"1424"
"Escola de Enfermagem, Universidade de São Paulo",1,"1422"
"Anatomical Society",1,"1420"
"American Association of Physical Anthropologists",1,"1418"
"European Federation For Immunogenetics",1,"1415"
"Chinese Endocrinologist Association",1,"1405"
"British Society of Paediatric Dentistry",1,"1390"
"Association for Tropical Biology and Conservation",1,"1385"
"International Society for Laboratory Haematology (ISLH)",1,"1384"
"Hong Kong Society of Professional Optometrists",1,"1369"
"International Solid Waste Association",1,"1366"
"The Asia Pacific Orthopaedic Association",1,"1343"
"European Society for Cosmetic and Aesthetic Dermatology",1,"1339"
"Japan Epidemiological Association",1,"1337"
"Asia and Oceania Federation of Obstetrics and Gynaecology",1,"1334"
"American College of Clinical Pharmacy (ACCP)",1,"1329"
"Asian Pacific Society of Respirology",1,"1327"
"The Council on Tall Buildings and Urban Habitat",1,"1321"
"Scandinavian Society for Plant Physiology",1,"1315"
"American Association of Immunologists",1,"1311"
"East African Wild Life Society",1,"1307"
"Society for Research on Adolescence",1,"1305"
"British Dietetic Association",1,"1298"
"American Association of Equine Practitioners",1,"1295"
"Taiwan Institute of Chemical Engineers",1,"1292"
"American College of Veterinary Ophthalmologists",1,"1284"
"Transplantation Society",1,"1273"
"Chinese Chemical Society",1,"1264"
"Nordic College of Caring Science",1,"1249"
"Australian College of Mental Health Nurses Inc.",1,"1247"
"Institute of Food, Science and Technology (IFSTTF)",1,"1246"
"National Association for Research in Science Teaching",1,"1245"
"Turkish Society of Gastroenterology",1,"1231"
"Society for Ecological Restoration",1,"1230"
"Fundação Odontológica de Ribeirão Preto",1,"1214"
"Deutsche Dermatologische Gesellschaft",1,"1204"
"Royal Australian and New Zealand College of Obstetricians and Gynaecologists",1,"1198"
"Zarqa University",1,"1194"
"American Academy of Veterinary Pharmacology and Therapeutics",1,"1165"
"Grupo Communicar Ediciones",1,"1152"
"European Cell Proliferation Society",1,"1151"
"Shanghai Association of Integrative Medicine",1,"1149"
"Faculdade de Medicina",1,"1148"
"International Society for Pediatric and Adolescent Diabetes",1,"1140"
"Sociedade Brasileira de Pesquisa Odontológica",1,"1136"
"Phycological Society of America",1,"1135"
"International Federation of Cell Biology",1,"1105"
"Australian Dental Association",1,"1103"
"AlphaMed Press",1,"1100"
"Society for the Study of Evolution",1,"1099"
"Wound Healing Society",1,"1098"
"Australian Council on the Ageing",1,"1096"
"Biophysical Society",1,"1083"
"Sociedade Brasileira de Urologia",1,"1053"
"British Society for Clinical Cytology (BSCC)",1,"1052"
"American Society for Photobiology",1,"1049"
"Royal College of Surgeons of England",1,"1040"
"Association for Information Science and Technology",1,"1037"
"British Division of the International Academy of Pathology",1,"1030"
"American Society for Reproductive Immunology  (ASRI)",1,"1017"
"Scandinavian Division of the International Association for Dental Research",1,"1007"
"Scandanavian Society of Immunology (SSI)",1,"1005"
"Escola de Enfermagem Universidade Federal de São Paulo",1,"1003"
"Association for Dental Education in Europe",1,"1002"
"Deutschsprachige Mykologische Gesellschaft",1,"998"
"International Union of Psychological Science",1,"992"
"Dietitians Association of Australia",1,"989"
"International Council of Nurses",1,"983"
"Accounting and Finance Association of Australia and New Zealand",1,"968"
"American Association of Clinical Anatomists",1,"967"
"Australian Association of Occupational Therapists Inc.",1,"965"
"Brazilian Society of Mechanical Sciences and Engineering",1,"961"
