"Publishers","Journals"
"Universitas Ahmad Dahlan",38
"Asian Network for Scientific Information (ANSINET)",37
"Elsevier Masson",37
"Lavoisier",37
"Consejo Superior de Investigaciones Científicas",36
"Edizioni Ca Foscari - Digital Publishing",36
"Edizioni Minerva Medica",36
"Mosby",36
"Società Editrice il Mulino",36
"Academic Publishing House Researcher",35
"University of Alberta Library",35
"American Society of Civil Engineers",34
"CSIRO Publishing",34
"Liverpool University Press",34
"Universidade de Brasília",34
"University of Alberta",34
"Adis",33
"American Anthropological Association",33
"Boom Juridische Uitgevers",33
"Human Kinetics",33
"NRC Research Press (Canadian Science Publishing)",33
"Universidad de Costa Rica",33
"Amsterdam University Press",32
"Firenze University Press",32
"Future Medicine",32
"European Geosciences Union",31
"GERFLINT",31
"Global Science Books",31
"John Libbey Eurotext",31
"Pergamon",31
"Science Publications",31
"Sweet and Maxwell",31
"EDP Open",30
"Institution of Engineering and Technology (IET)",30
"Juta Law",30
"Presses Universitaires de France",30
"Avens Publishing Group",29
"Universidade Estadual de Maringá",29
"American Institute of Physics",28
"Cell Press",28
"Faculdade de Letras",28
"Global Science Research Journals",28
"Thieme Open",28
"American Geophysical Union",27
"American Society of Mechanical Engineers",27
"Carl Hanser Verlag",26
"EMBASE",26
"ediPUCRS",26
"Peertechz",26
"Pontificia Universidad Javeriana, Bogota",26
"Sciedu Press",26
"American Physical Society",25
"National Inquiry Services Centre (NISC)",25
"Georg Thieme Verlag",24
"Multi-Science Publishing",24
"Quintessence Publishing",24
"Società Italiana di Fisica",24
"University of Nebraska Press",24
"Ediciones Universidad de Salamanca",23
"Thomson Reuters (Professional)",23
"UNISA Press",23
"AIMS Press",22
"Baywood Publishing",22
"Now Publishers",22
"Schattauer",22
"Tech Science Press",22
"Universidade Federal do Espírito Santo",22
"Cognizant Communication Corporation",21
"Erich Schmidt Verlag",21
"German Medical Science",21
"JMIR Publications",21
"New Prairie Press",21
"Optical Society of America",21
"Russian Academy of Sciences",21
"Universidad Nacional de Costa Rica",21
"Akademie Verlag",20
"American Institute of Mathematical Sciences (AIMS)",20
"American Mathematical Society",20
"Churchill Livingstone",20
"E Schweizerbart Science Publishers",20
"Instituto de Investigação Científica Tropical",20
"Lawbook Co",20
"Open Access Pub",20
"Springer Publishing Company",20
"Universita del Salento",20
"University of Hawaii Press",20
"Universitätsverlag der TU Berlin",20
"Academic and Business Research Institute",19
"Australian Academic Press",19
"Fundacao Getulio Varagas (FGV)",19
"Hamad bin Khalifa University Press",19
"Henry Stewart Publications",19
"Kluwer Law International",19
"Michigan Publishing",19
"Universidad Politécnica de Valencia (PoliPapers)",19
"Universidad do Vale de Rio dos Sinos (UNISINOS)",19
"Università degli Studi di Milano (University of Milan)",19
"World Scientific and Engineering Academy and Society (WSEAS)",19
"American Society for Microbiology",18
"Armand Colin",18
"Geological Society",18
"IWA Publishing",18
"Institute of Materials, Minerals and Mining (UK)",18
"Oldenbourg Verlag",18
"Open Library of Humanities",18
"Professional Engineering Publishing (Institution of Mechanical Engineers)",18
"Science Publishing Corporation",18
"Smart Science and Technology",18
"Universidad Externado de Colombia",18
"Universidade Católica Portuguesa",18
"University of the Basque Country",18
"American Medical Association",17
"American Physiological Society",17
"Chinese University Press",17
"European Mathematical Society",17
"Facultad de Humanidades y Ciencias de la Educación",17
"Harvard Law School",17
"Hikari",17
"Old City Publishing",17
"Penn State University Press",17
"Promenade Publishing House",17
"Society for Industrial and Applied Mathematics",17
"Trans Tech Publications",17
"Verlag der Österreichischen Akademie der Wissenschaften",17
"Bern Open Publishing",16
"Business Perspectives",16
"Cogent OA",16
"Computer Society",16
"INFORMS",16
"Infonomics Society",16
"International Press",16
"Knowledgia Scientific",16
"Kohlhammer",16
"LED Edizioni Universitarie",16
"Science China Press",16
"Slack",16
"Tübitak Dergi Park",16
"Boom Lemma Uitgevers",15
"Centre for Research on Islamic Banking &amp; Finance and Business",15
"Clute Institute",15
"Cosmos Scholars Publishing House",15
"Elyns Group",15
"Enliven Archive",15
"Guilford Press",15
"Indian Academy of Sciences",15
"Institute of Advanced Engineering and Science",15
"Kamla-Raj Enterprises",15
"SAE International",15
"Universidad de Navarra",15
"University of Pennsylvania Press (Penn Press)",15
"University of Texas Press",15
"VS Verlag für Sozialwissenschaften",15
"Addleton Academic Publishers",14
"Chinese Academy of Sciences",14
"e-Century Publishing",14
"Facultad de Ingeniería",14
"Hipatia Press",14
"Imprensa da Universidade de Coimbra",14
"National Natural Science Foundation of China",14
"Polskiej Akademii Nauk",14
"Springer Berlin Heidelberg",14
"UCL Press",14
"UTS ePRESS",14
"Universidade de Coimbra",14
"University of Victoria",14
"Università degli Studi di Torino",14
"Utrecht University Library Open Access Journals (Uopen Journals)",14
"ACTA Press",13
"AME Publishing",13
"Academic Research Publishing Group",13
"American Accounting Association",13
"American Heart Association",13
"American Meteorological Society",13
"American Speech-Language-Hearing Association",13
"Editora UEPG",13
"Hammill Institute on Disabilities",13
"Høgskolen i Oslo og Akershus",13
"IAFOR (International Academic Forum)",13
"Informing Science Institute",13
"Institute of Mathematical Statistics",13
"King Saud University",13
"Lawtext Publishing",13
"Lifescience Global",13
"London Mathematical Society",13
"Merit Research Journals",13
"Paris Legal Publishers",13
"Pontifical University of John Paul II in Krakow Press",13
"Science and Education Centre of North America (SECNA)",13
"Science-line Publishers",13
"Scienpress",13
"Symbiosis Group",13
"University of Huddersfield Press",13
"Urban and Vogel",13
"Wichtig",13
"Aalborg Universitetsforlag",12
"Adam Mickiewicz University",12
"Advanced Research Publications",12
"American Scientific Publishers",12
"ClinMed International Library",12
"Eleven International Publishing",12
"Elmer Press",12
"Emanuscript Services",12
"Ernst und Sohn",12
"Franz Steiner Verlag",12
"Humana Press",12
"National University of Kyiv-Mohyla Academy",12
"North American Business Press",12
"PsychOpen",12
"RCN Publishing (RCNi)",12
"SAS Publishers",12
"Society of Photo-optical Instrumentation Engineers",12
"Tabriz University of Medical Sciences",12
"Universidade Lusíada Editora",12
"Universitat de Valencia",12
"Universitätsverlag Winter",12
"Al-Kindi Center for Research and Development",11
"American Institute of Aeronautics and Astronautics",11
"Cappelen Damm Akademisk",11
"Cardiff University Press",11
"Cloud Publications",11
"Dustri-Verlag",11
"ELK Education Consultants",11
"Georgia Southern University",11
"Islamic Azad University",11
"National Council of Teachers of English (NCTE)",11
"Publishing House Zaslavsky",11
"Purdue University Press",11
"Shiraz University",11
"Synergy Publishers",11
"The Royal Society",11
"Universidade do Sul de Santa Catarina",11
"University of Tartu Press",11
"ASM International",10
"Accademia University Press",10
"American Counseling Association",10
"American Sociological Association",10
"CODESRIA",10
"Edições Universidade Fernando Pessoa",10
"Elsevier Advanced Technology",10
"Faculty of Agriculture",10
"Health and Medical Publishing Group (HMPG)",10
"International Union of Crystallography",10
"Law Center",10
"Liguori Editore",10
"Linköping University Electronic Press",10
"Mathematical Sciences Publishers (MSP)",10
"MedPharm Publications (Medical and Pharmaceutical Publications)",10
"Medip Academy",10
"National Academy of Sciences of the Republic of Armenia",10
"National Communication Association",10
"Policy Studies Organization",10
"Royal College of Psychiatrists",10
"Septentrio Academic Publishing",10
"Stockholm University Press",10
"Symposium Journals",10
"Universidad Nacional de Trujillo",10
"Universidad del Rosario",10
"Universidade Federal do Estado do Rio de Janeiro",10
"University of Wales Press",10
"Université Kasdi Merbah Ouargla",10
"Virginia Tech Libraries",10
"Volgogradskii Gosudarstvennyi Universitet (Volgograd State University)",10
"???-?????",10
"American Statistical Association",9
"Athabasca University Press",9
"Australian Psychological Society",9
"Centro de Profesorado Sagrada Familia de Ubenda",9
"Chitkara University Publications",9
"Decker Publishing",9
"Dipartimento delle Arti",9
"European Association for Signal Processing",9
"F1000Research",9
"Geological Society of America",9
"Hayward",9
"Incisive Media",9
"Inter Research",9
"International Federation of Automatic Control (IFAC)",9
"Intersentia",9
"Ivyspring International Publisher",9
"LexisNexis Australia",9
"OAE Publishing",9
"Ohio State University Libraries",9
"Policy Press",9
"Rowman &amp; Littlefield",9
"SciPress",9
"Stanford Law School",9
"Vilnius Gediminas Technical University Press",9
"WIT Press",9
"World Health Organization",9
"Yale Law School",9
"Academy of Management",8
"Advanstar Communications",8
"American Association for Cancer Research",8
"American Economic Association",8
"Association for Jewish Studies",8
"Australian International Academic Centre (AIAC)",8
"Bernoulli Society for Mathematical Statistics and Probability",8
"BioScientifica",8
"Budapest University of Technology and Economics",8
"CF Müller",8
"Edorium Journals",8
"European Society of Cardiology",8
"e-Content Management",8
"German Institute of Global and Area Studies / Leibniz-Institut für Globale und Regionale Studien (GIGA)",8
"Hart Publishing",8
"Higher Education Academy",8
"Institut für Technologie und Management",8
"Instituto de Historia",8
"Instytut Slawistyki",8
"International Academy of Ecology and Environmental Sciences (IAEES)",8
"Maria Curie-Sklodowska University",8
"New Century Science Press",8
"Portland Press",8
"Riga Technical University",8
"Royal Society of New Zealand",8
"Smith and Franklin Academic Publishing",8
"Spandidos Publications",8
"Tekhnologicheskii Tsentr (PC Technology Center)",8
"Universidad de La Rioja",8
"University of Ottawa",8
"University of Wisconsin Press",8
"Wayne State University Press",8
"American Association for the Advancement of Science",7
"American Astronomical Society",7
"Association for the Advancement of Computing in Education",7
"Association of Computer Electronics and Electrical Engineers (ACEEE)",7
"BCS, The Chartered Institute for IT",7
"Bergen Open Access Publishing",7
"Bina Nusantara University",7
"British Ecological Society",7
"Debreceni Egyetemi Kiadó",7
"EMH Schweizerischer Arzteverlag (EMH Swiss Medical Publishers)",7
"Ecological Society of America",7
"Entomological Society of America",7
"Fagbokforlaget",7
"Gerontological Society of America",7
"Gesellschaft Deutscher Chemiker",7
"Gyldendal Akademisk (Gyldendal Academic)",7
"Human Factors and Ergonomics Society",7
"Human Resource Management Academic Research Society",7
"IMED",7
"Imperial College Press",7
"Institute of Mathematics and its Applications",7
"Instytut Matematyczny",7
"Kassel University Press",7
"Knowledge E",7
"Lawrence and Wishart",7
"Literati Scientific and Publishers",7
"Ludwig von Mises Institute",7
"Manchester University Press",7
"Marquette Books",7
"Materials Research Society",7
"Medicine Publishing",7
"Microbiology Society",7
"Miskolci Egyetemi Kiadó",7
"Modern Humanities Research Association (MHRA)",7
"Novus forlag",7
"Public Library of Science",7
"Research Information",7
"Research Online Publishing (ROnPub)",7
"Royal Entomological Society",7
"Royal Meteorological Society",7
"ScienceQ Publishing Group",7
"Turpion",7
"Universidad Nacional de Rosario",7
"Universidad de Jaén",7
"Universidade Comunitária Regional de Chapecó (UNOCHAPECÓ)",7
"Universitatea de Stiinte Agronomice si Medicina Veterinara - Bucuresti (University of Agronomic Sciences and Veterinary Medicine of Bucharest)",7
"University of Lodz",7
"Verlagshaus Monsenstein und Vannerdat",7
"Versita",7
"Vittorio Klostermann",7
"Wageningen Academic Publishers",7
"Wounds UK",7
"ANU Press",6
"ASERS Publishing",6
"ASTM International",6
"American Fisheries Society",6
"American Planning Association (APA)",6
"American Real Estate Society",6
"American Society for Engineering Education",6
"American Society for Pharmacology and Experimental Therapeutics (ASPET)",6
"Association for Information Science and Technology (ASIS&amp;T)",6
"Biochemical Society",6
"Brepols Publishers",6
"British Editorial Society of Bone and Joint Surgery",6
"Codon Publications",6
"Current Medicine Group",6
"Dental Investigations Society",6
"Eagle Hill Institute",6
"Editrice Kurtis",6
"Edward Elgar Publishing",6
"Electrochemical Society",6
"Evangelische Verlagsanstalt",6
"Fundación Universitaria Luis Amigó",6
"Gabler Verlag",6
"IJS Publishing Group",6
"Imprint Academic",6
"Infinity Press",6
"Institute of Electrical Engineers of Japan",6
"Integrated Publishing Association",6
"International Journals of Scientific Research Publications (IJSR Publications)",6
"International Medical Publisher",6
"International Society for Horticultural Science (ISHS)",6
"KSP Journals",6
"KeAi Communications",6
"Kerman University of Medical Sciences",6
"King Abdulaziz City for Science and Technology",6
"Librello",6
"Museu de Ciències Naturals de Barcelona (Museum of Natural Sciences of Barcelona)",6
"Northumbria University Library",6
"Nova Southeastern University",6
"Oikos Editorial Office",6
"Open Communications Press",6
"Oriental Scientific Publishing Company",6
"Psychonomic Society",6
"Radcliffe Medical Media",6
"Royal Pharmaceutical Society of Great Britain",6
"Schloss Dagstuhl - Leibniz-Zentrum für Informatik",6
"School of Law",6
"Scientific Foundation SPIROSKI",6
"Society for Applied Microbiology",6
"Society of American Foresters",6
"Society of Chemical Industry",6
"Suomalainen Lakimiesyhdistys ry (Finnish Lawyers' Society)",6
"Suomalaisen Kirjallisuuden Seura",6
"T.M.C Asser Press",6
"Transnational Press London",6
"Tsinghua University Press",6
"Universidad Politécnica Salesiana",6
"Universidad Tecnológica Equinoccial",6
"Universidad de La Sabana",6
"Universidade Estadual de Campinas",6
"Universidade Federal do Rio Grande do Norte",6
"Universidade de Caxias do Sul",6
"Universidade de Fortaleza",6
"University of Debrecen",6
"University of Messina",6
"University of North Carolina Press",6
"University of Westminster Press",6
"Virtus Interpress",6
"WB Saunders",6
"Western Michigan University",6
"Academic Conferences and Publishing International",5
"American Academy of Neurology (AAN)",5
"American Association of Pharmaceutical Scientists",5
"American Diabetes Association",5
"American Educational Research Association",5
"American Library Association",5
"American Society of Clinical Oncology",5
"American Society of Plant Biologists",5
"American Thoracic Society",5
"Anadolu University",5
"Annenberg School for Communication &amp; Journalism",5
"Association for Information Systems",5
"Association for Psychological Science",5
"Association for Science Education",5
"Association for the Sciences of Limnology and Oceanography (ASLO)",5
"Belarusian National Technical University",5
"Bloomsbury Professional",5
"Borntraeger Science Publishers",5
"Bristol University Press",5
"British Institute of Radiology",5
"British Mycological Society",5
"CSRC Publishing, Center for Sustainability Research and Consultancy Pakistan",5
"Canadian Medical Association",5
"Catholic University of America Press",5
"Central Bohemia University",5
"Centre National de la Recherche Scientifique",5
"Co-Action Publishing",5
"Crop Science Society of America",5
"Dipartimento di Scienze Dell'Educazione «Giovanni Maria Bertin»",5
"Direct Research Journals",5
"DiscoverSys",5
"ERP Environment",5
"Editions du Seuil",5
"Edizioni Quasar di Severino Tognon",5
"European Physical Society",5
"European Society of Endocrinology",5
"Federation of European Microbiological Societies",5
"G.K. Chesterton Institute for Faith and Culture",5
"GIAP Journals",5
"Greenleaf Publishing",5
"Heldermann Verlag",5
"IISS",5
"IMR Press",5
"IP Publishing",5
"InPharm Association",5
"InTech",5
"Institut National de la Recherche Agronomique",5
"Institution of Chemical Engineers",5
"Instituto Tecnológico Metropolitano",5
"International Association of Online Engineering (IAOE)",5
"International Communication Association",5
"International Union of Biochemistry and Molecular Biology (IUBMB)",5
"Internet Medical Publishing",5
"Isfahan University of Medical Sciences",5
"i-Proclaim",5
"Journal Issues",5
"KAJ Printing",5
"Ledizioni",5
"Linnean Society of London",5
"Living Reviews",5
"Magnolia Press",5
"Middle Tennessee State University",5
"NIHR Journals Library",5
"NTNU Open Access Journals",5
"National Aviation University",5
"Newlands Press",5
"Norges handelshøyskole (Norwegian School of Economics and Business Administration)",5
"Odessa National Academy Food Technologies",5
"OmniaScience",5
"Pion",5
"Polessky State University",5
"Political Studies Association",5
"Presidium",5
"Redfame Publishing",5
"Renu Publishers",5
"Research Centre for Management and Social Studies",5
"Royal Historical Society",5
"SEEd Medical Publishers",5
"SETScholars",5
"SHAPE America",5
"Schlütersche Verlagsgesellschaft",5
"Scientific Journals",5
"Society for Endocrinology",5
"Society for Experimental Biology",5
"Society of Petroleum Engineers (SPE)",5
"Suomalainen Tiedeakatemia (Finnish Academy of Science and Letters)",5
"The Company of Biologists",5
"UNESCO",5
"Unicuritiba",5
"United Academic Journals",5
"United Scientific Group",5
"Universidad ICESI",5
"Universitatea de Stat din Moldova",5
"University of Tlemcen",5
"Varna Medical University Press",5
"Vathek Publishing",5
"Verlag C.H.Beck",5
"AK Peters",4
"ARLIS/NA",4
"Academy of Science of South Africa",4
"Acoustical Society of America",4
"AkiNik Publications",4
"American Association of Critical Care Nurses",4
"American Association of Neurological Surgeons",4
"American Cancer Society",4
"American Catholic Philosophical Association",4
"American Ceramic Society",4
"American College of Cardiology",4
"American College of Sports Medicine (ACSM)",4
"American Institute of Chemical Engineers (AIChE)",4
"American Physical Therapy Association (APTA)",4
"American Phytopathological Society",4
"American Psychiatric Publishing",4
"American Society for Composites",4
"American Society for Horticultural Science",4
"American Society of Agricultural and Biological Engineers",4
"American Vacuum Society",4
"Asian Business Consortium",4
"Association for Scottish Literary Studies",4
"Association for Symbolic Logic",4
"Association of College and Research Libraries",4
"Australian Mathematical Society",4
"Bellweather Publishing",4
"Brookings Institution Press",4
"CIB: International Council for Research and Innovation in Building and Construction",4
"Canadian Institute of Mining, Metallurgy and Petroleum (CIM)",4
"Centro de História d'Aquém e d'Além Mar",4
"Centro de Investigação em Ciência e Tecnologia das Artes (CITAR)",4
"Chinese Chemical Society",4
"Chinese Physical Society",4
"Cogitatio Press",4
"Cold Spring Harbor Laboratory Press",4
"Curtin University",4
"DECHEMA",4
"Dougmar Publishing Group",4
"EMBO Press",4
"Econometric Society",4
"Electron Devices Society",4
"Endocrine Society",4
"Engg Journals Publications",4
"Enviro Research Publishers",4
"European Respiratory Society",4
"European Scientific Institute",4
"European Society of Human Reproduction and Embryology",4
"Expert Journals",4
"Faculdade Cenecista de Campo Largo (FACECLA)",4
"Faculdade de Teologia",4
"Fakultas Hukum",4
"Faraday Society",4
"Federation of European Biochemical Societies",4
"Forest Products Society",4
"Fundación Universitaria Juan de Castellanos",4
"Future Academy",4
"Higher Education Press",4
"Institucion Universitaria Politecnico Grancolombiano",4
"Institut Teknologi Bandung, School of Business and Management",4
"Institut für Architektur",4
"Institute of Development Studies",4
"Institute of Electronics, Information and Communication Engineers",4
"Instituto Brasileiro de Pesquisa e Ensino em Fisiologia do Exercício (IBPEFEX)",4
"Instituto Superior de Psicologia Aplicada (ISPA)",4
"Instituto de Lengua, Literatura y Antropología",4
"International Association for the Study of Obesity",4
"International Association of Applied Psychology",4
"International Center for Research, Education and Training NGO",4
"International Foundation for Modern Education and Scientific Research (INFOMESR)",4
"International Research Operation in Sciences and Social Sciences (IROSS)",4
"International Social Security Association",4
"International Society for Photogrammetry and Remote Sensing",4
"International Society of Electrochemistry (ISE)",4
"International Statistical Institute",4
"International Studies Association",4
"Jossey-Bass",4
"Levy Library Press",4
"London School of Economics and Political Science",4
"Longwoods Publishing",4
"Lucian Blaga University of Sibiu",4
"MGTU im. N.È. Baumana (Bauman Moscow State  Technical University)",4
"Mansa STM publishers",4
"Ministere de l'Enseignement Superieur et de la Recherche",4
"Modern Language Association",4
"Mount Royal University Library",4
"National Association for Music Education",4
"National Association of Social Workers",4
"Nordic Association of Agricultural Scientists (NJF)",4
"Nutrition Society",4
"OR Society",4
"Paternoster Periodicals",4
"Pharmacognosy Network Worldwide",4
"Polskie Towarzystwo Botaniczne",4
"Royal Astronomical Society",4
"Royal Geographical Society",4
"Royal Statistical Society",4
"Russian Union of Paediatricians (Paediatrician Publishers LLC)",4
"SciPost",4
"Scientific World",4
"Shanghai Jiao Tong University",4
"Slavica Publishers",4
"Society for American Archaeology (SAA)",4
"Society for Healthcare &amp; Research Development",4
"Society of Digital Information and Wireless Communications (SDIWC)",4
"Société de Mathématiques Appliquées et Industrielles",4
"Soil Science Society of America",4
"Springer Netherlands",4
"Srinivas Publication",4
"Srinivas University",4
"Stellenbosch University",4
"Syddansk Universitetsforlag",4
"Thomas Land Publishers",4
"United Scholars",4
"Universidad Católica Santo Toribio de Mogrovejo",4
"Universidad Complutense de Madrid",4
"Universidad Peruana de Ciencias Aplicada",4
"Universidad de Antioquia",4
"Universidad de Oriente",4
"Universidade EAFIT",4
"Universidade Nove de Julho (UNINOVE)",4
"Universidade dos Açores",4
"Universitat Politècnica de Catalunya",4
"University of Illinois at Chicago Library",4
"University of Kansas Libraries",4
"University of Oklahoma Libraries",4
"Università degli studi di Cagliari",4
"Warsaw University of Technology",4
"White Horse Press",4
"White Rose University Press",4
"Whiting and Birch",4
"Wroclaw Medical University Press",4
"Zoological Society of London",4
"Érudit",4
"Academy of Human Resource Development",3
"Academy of Marketing",3
"Acta Materialia",3
"Agricultural Institute of Canada",3
"Agricultural and Applied Economics Association",3
"Akademika Forlag",3
"AlphaMed Press",3
"American Academy of Family Physicians (AAFP)",3
"American Academy of Oral and Maxillofacial Pathology",3
"American Academy of Pediatrics",3
"American Association for Adult and Continuing Education",3
"American Association for Clinical Chemistry",3
"American Association for Thoracic Surgery",3
"American Association for the Study of Liver Diseases",3
"American Association on Intellectual and Developmental Disabilities",3
"American College of Professional Neuropsychology",3
"American College of Rheumatology",3
"American Concrete Institute",3
"American Geographical Society",3
"American Nuclear Society",3
"American Orthopaedic Society for Sports Medicine (AOSSM)",3
"American Political Science Association",3
"American Schools of Oriental Research (ASOR)",3
"American Society for Biochemistry and Molecular Biology",3
"American Society for Nutrition",3
"American Society of Agronomy",3
"American Society of Hematology",3
"Applied Probability Trust",3
"Association for Environmental Health and Science Foundation",3
"Association for Research in Vision and Ophthalmology",3
"Association for Theatre in Higher Education (ATHE)",3
"Association of American Geographers (AAG)",3
"Association of Applied Biologists",3
"Association of Civil and Environmental Engineers",3
"Association of Energy Engineers",3
"Association of Mechanical and Aeronautical Engineers",3
"Astronomical Society of the Pacific",3
"Atlantis Press",3
"Aula Médica Ediciones",3
"Australasian Institute of Mining and Metallurgy",3
"Avicenna Journals (Advancements in Science)",3
"Ayurvedic Trust",3
"Banca Nazionale del Lavoro",3
"Baynoon Centre for Studies and Development",3
"Beech Tree Publishing",3
"Bloomberg School of Public Health",3
"Boom Bestuurskunde",3
"Botanical Society of America",3
"Bowling Green State University",3
"British Pharmacological Society",3
"British Sociological Association",3
"CAB International Publishing",3
"CILIP",3
"CIRP",3
"Cambridge Political Economy Society",3
"Canadian Aeronautics and Space Institute (CASI)",3
"Canadian Philosophical Association",3
"Canadian Psychological Association",3
"Centre for Business &amp; Economic Research",3
"Centro de Estudos Sociais",3
"Chemical Society of Japan",3
"China Coal Society",3
"China University of Geosciences (Beijing)",3
"Chinese Geophysical Society",3
"Chinese Laser Press",3
"Classical Association",3
"Collegium Basilea",3
"Columbia University Libraries",3
"Combustion Institute",3
"Communications Society",3
"Consumer Electronics Society",3
"Council for British Archaeology",3
"Delta Publicaiones",3
"Department of Environmental Engineering",3
"Deutsche Physikalische Gesellschaft",3
"Deutschen Gesellschaft für Psychologie (DGPs)",3
"Digital ProScholar Media",3
"Dipartimento di Filologia Classica e Italianistica",3
"EMAP",3
"Eastern Communication Association",3
"Edições Colibri",3
"EduPedia Publictions",3
"Edusoft",3
"Eisenbrauns",3
"Engineering in Medicine and Biology Society",3
"English Association",3
"Eurasian Publications",3
"European Association for Vision and Eye Research (EVER)",3
"European Association of Geoscientists and Engineers (EAGE)",3
"European Centre for Minority Issues",3
"European Consortium for Political Research",3
"European Federation of Food Science and Technology",3
"European Optical Society",3
"European Renal Association - European Dialysis and Transplant Association (ERA-EDTA)",3
"European Society of Radiology",3
"European Structural Integrity Society",3
"Excerpta Medica",3
"Faculty of Philosophy",3
"Federal State Budgetary Educational Institution of Higher Education (National Research Ogarev Mordovia State University)",3
"Fitness Information Technology",3
"Foundation Compositio Mathematica",3
"Francia Tanszék",3
"Geochemical Society",3
"Geographical Association",3
"German Cardiac Society",3
"Helsinki University Press",3
"Hong Kong Society for Transportation Studies",3
"IJCAB Publishing Group",3
"IM Publications",3
"IMA - Press",3
"IMED Research Publications",3
"Impact Journals",3
"Indian National Science Academy",3
"Indonesian Society of Sanitary and Environmental Engineers",3
"InnoVision Health Media",3
"Institut Français d'Etudes Andines (IFEA)",3
"Institut Veolia Environnement",3
"Institut für Informationssysteme und Computer Medien",3
"Institute of Botany",3
"Institute of British Geographers",3
"Institute of Food Technologists",3
"Institute of Industrial Engineers",3
"Institution of Electronics and Telecommunication Engineers",3
"Instituto de Lenguas y Culturas del Mediterráneo y Oriente Próximo",3
"Instytut Badan Gospodarczych",3
"International Association of Hydrological Sciences",3
"International Committee of the Red Cross",3
"International Geosynthetics Society (IGS)",3
"International Information and Engineering Technology Association",3
"International Institute of Anticancer Research",3
"International Literacy Association",3
"International Medical Informatics Association",3
"International Medical News Group",3
"International Society for Environmental Information Sciences (ISEIS)",3
"International Society for Magnetic Resonance in Medicine",3
"International Society for Mycotoxicology",3
"Iranian Association of Environmental Health (IAEH)",3
"JD Sauerlaender's Verlag",3
"Kambohwell Publisher Enterprises",3
"Kare Publishing",3
"Klett-Cotta Verlag",3
"Korea Basic Science Institute",3
"Laboratório Nacional de Energia e Geologia (LNEG)",3
"Lectito",3
"Linguistic Society of America",3
"Marina Sokolova Publishings (?? ???????? ?????? ????????????)",3
"Mathematical Association of America (MAA)",3
"Media Systems Communications",3
"Medical School",3
"Medworld Asia Publications",3
"Mergent",3
"Michael Joanna Publications",3
"Mineralogical Society of America",3
