"publisher","journals","reviews"
"Synergy Publishers",15,"38"
"JAMA Network",14,"5933"
"Quintessence Publishing Company",14,"3182"
"Trans Tech Publications",14,"1509"
"Shahid Chamran University of Ahvaz",14,"746"
"Academy of Sciences of the Czech Republic",14,"685"
"Informing Science Institute",14,"451"
"Tehran University of Medical Sciences",14,"384"
"Jaypee Brothers Medical Publishers (P) Ltd",14,"273"
"Elmer Press",14,"206"
"Scholink",14,"148"
"Fabrizio Serra Editore",14,"5"
"Public Library of Science",13,"105847"
"The Optical Society",13,"18202"
"BioScientifica Ltd.",13,"15883"
"Chemistry Europe",13,"8827"
"American Physiological Society",13,"8108"
"Techno Press",13,"3560"
"Institute for Operations Research and the Management Sciences (INFORMS)",13,"2118"
"National Institute of Science Communication and Information Resources (NISCAIR)",13,"1219"
"Teheran University of Medical Sciences",13,"1058"
"Chinese Academy of Sciences",13,"867"
"American Accounting Association",13,"327"
"Universiti Malaysia Perlis (UniMAP)",13,"254"
"Universidad Nacional Autonoma de Mexico, Instituto de Investigaciones Filosoficas",13,"163"
"Russian Academy of Sciences",13,"122"
"Chinese Medical Association",13,"119"
"SCI FORSCHEN",13,"52"
"Spandidos Publications",12,"13484"
"ASTM International",12,"7457"
"American Meteorological Society",12,"4709"
"Business Perspectives",12,"763"
"American Institute of Mathematical Sciences",12,"658"
"IBIMA Publishing",12,"439"
"SciPress Ltd",12,"307"
"Eco-Vector",12,"301"
"Edelweiss publications",12,"156"
"Philosophy Documentation Center",12,"135"
"Universiti Kebangsaan Malaysia",12,"131"
"UNISA Press",12,"100"
"Universidad de Huelva, Publicaciones",12,"80"
"Iris Publishers",12,"59"
"Pushpa Publishing House",12,"58"
"Maney Publishing",12,"46"
"Penn State University Press",12,"41"
"American Association for Science and Technology ",12,"29"
"Institution of Engineers (India)",12,"13"
"Universitas Negeri Surabaya",12,"9"
"Franz Steiner Verlag Wiesbaden GmbH",12,"7"
"Brepols Publishers",12,"4"
"The Royal Society",11,"36409"
"American Association for Cancer Research",11,"4106"
"Mashhad University of Medical Sciences",11,"2080"
"British Psychological Society (BPS)",11,"1611"
"JVE Journals",11,"1094"
"Slack Incorporated",11,"1086"
"Institute of Mathematical Statistics",11,"697"
"Schattauer",11,"638"
"University of Sistan and Baluchestan",11,"608"
"Dustri-Verlag Dr. Karl Feistle",11,"515"
"Czech Academy of Agricultural Sciences",11,"491"
"Ke Ai",11,"482"
"Pontificia Universidad Catolica de Chile",11,"249"
"E. Schweizerbart Science Publishers",11,"215"
"Research and Reviews",11,"213"
"Firenze University Press",11,"169"
"International Press of Boston, Inc.",11,"87"
"Lodz University Press",11,"21"
"Editions Rodopi B.V.",11,"17"
"Science and Engineering Publishing Company",11,"15"
"Zhonghua Yixuehui Zazhishe",11,"3"
"American College of Cardiology",10,"9762"
"American Institute of Aeronautics and Astronautics Inc. (AIAA)",10,"7671"
"Society of Petroleum Engineers (SPE)",10,"6535"
"Academy of Management",10,"5681"
"ASM International",10,"4667"
"Psychology Press Ltd",10,"2985"
"Universiti Putra Malaysia",10,"2870"
"Cold Spring Harbor Laboratory Press",10,"1458"
"Diponegoro University",10,"1127"
"International Union of Crystallography",10,"994"
"RCNi",10,"274"
"University of Wisconsin Press",10,"274"
"Penerbit UTHM",10,"195"
"Auctores Publishing",10,"59"
"Il Mulino publishing house",10,"43"
"Lavoisier Abonnements",10,"42"
"European Mathematical Society Publishing House",10,"37"
"M.E. Sharpe Inc.",10,"27"
"MedPress",10,"23"
"Indiana University Press",10,"21"
"Advanstar Communications",10,"13"
"American Counseling Association (ACA)",10,"13"
"Chitkara University Publications",10,"12"
"OPR Science",10,"12"
"International Scientific Information",9,"5875"
"F1000",9,"3166"
"American Society of Agricultural and Biological Engineers",9,"2928"
"Geological Society of London",9,"2235"
"Tech Science Press",9,"2221"
"World Health Organization",9,"1537"
"Colegio Oficial de Psicólogos de Madrid",9,"818"
"Carl Hanser Verlag GmbH & Co. KG",9,"628"
"Universidade Federal do Parana",9,"424"
"Policy Studies Organization",9,"365"
"South African Medical Association",9,"338"
"e-Century Publishing Corporation",9,"209"
"Royal College of Nursing",9,"193"
"Universidad de Antioquia",9,"180"
"Japan Society of Mechanical Engineers",9,"129"
"Old City Publishing",9,"110"
"Pier Professional Ltd",9,"90"
"University of the Philippines",9,"88"
"Universidad del Zulia",9,"58"
"Ommega Online Publishers",9,"50"
"Touch Briefings",9,"41"
"Nova Science Publishers Inc",9,"37"
"Henry Publishing Group",9,"30"
"Portland Press Ltd.",8,"13266"
"American Society of Clinical Oncology",8,"8372"
"Inter-Research",8,"3987"
"Geological Society of America",8,"1596"
"Materials Research Society",8,"1248"
"Bina Nusantara University",8,"985"
"Isfahan University of Technology",8,"820"
"Penerbit Universiti Sains Malaysia",8,"567"
"The Royal Society of New Zealand",8,"496"
"Guilford Press",8,"405"
"Redfame Publishing",8,"374"
"Open BioMedical Publishing Corporation",8,"352"
"Chulalongkorn University",8,"346"
"Cognizant Communication Corporation",8,"312"
"Chiang Mai University",8,"301"
"Policy Press",8,"283"
"University of Sao Paolo",8,"277"
"Scholars Research Library",8,"224"
"Universitas Gadjah Mada",8,"216"
"Polska Akademia Nauk",8,"176"
"Whioce Publishing Pte. Ltd.",8,"154"
"Liverpool University Press",8,"150"
"University of Belgrade",8,"119"
"Universidade Federal de Santa Catarina",8,"97"
"University of Nis",8,"82"
"Franco Angeli Edizioni",8,"72"
"Michigan State University",8,"49"
"Universitas Ahmad Dahlan",8,"43"
"Universidad de Santiago de Compostela",8,"37"
"International Computer Science and Engineering Society  (ICSES)",8,"24"
"Scientific Route OÜ",8,"20"
"Presses de Sciences Po",8,"19"
"Pabst Science Publishers",8,"13"
"Medwell Publishing",8,"7"
"SciDoc",8,"6"
"Izdatel'stvo Nauka",8,"3"
"Scientific Foundation SPIROSKI",7,"7692"
"Shanghai Jiao Tong University",7,"4250"
"Entomological Society of America",7,"4208"
"Royal Entomological Society",7,"4008"
"Microbiology Society",7,"3798"
"Universidade Federal do Rio de Janeiro",7,"1991"
"Az-buki National Publishing House",7,"858"
"Mattioli 1885",7,"812"
"ACTA Press",7,"776"
"American Marketing Association",7,"736"
"PC TECHNOLOGY CENTER",7,"608"
"Universitas Ibrahimy Sukorejo - Situbondo",7,"337"
"Longdom Publishing",7,"230"
"Mathematical Sciences Publishers",7,"215"
"BluePen Journals",7,"198"
"ID Design",7,"161"
"American Economic Association",7,"157"
"Berkeley Electronic Press",7,"124"
"Universidad del Rosario",7,"124"
"IFAC Secretariat",7,"118"
"Universitat de Barcelona",7,"117"
"Pacini Editore s.r.l.",7,"106"
"Universidad Austral de Chile",7,"106"
"AIJR Publisher",7,"92"
"Pontificia Universidad Javeriana",7,"69"
"University of Istanbul",7,"64"
"University of the West Indies",7,"57"
"Universitas Pendidikan Indonesia",7,"53"
"Delft University of Technology",7,"51"
"Trade Science Inc.",7,"48"
"Technoscience Academy",7,"44"
"Tamkang University",7,"38"
"Estonian Academy Publishers",7,"37"
"Public Science Framework",7,"25"
"International Digital Organization for Scientific Information",7,"23"
"Pak Publishing Group",7,"19"
"American V-King Scientific Publishing",7,"16"
"RonPub -- Research Online Publishing",7,"14"
"University of Nebraska Press",7,"12"
"Henry Stewart Publications",7,"11"
"Poltekkes Kemenkes Yogyakarta",7,"10"
"Harvard University",7,"7"
"Armand Colin Paris",7,"4"
"Institute of Slavic Studies, Polish Academy of Sciences",7,"4"
"American Institute of Chemical Engineers",6,"15705"
"British Ecological Society",6,"13044"
"PeerJ",6,"11354"
"American Speech-Language-Hearing Association (ASHA)",6,"8416"
"European Respiratory Society",6,"7434"
"Endocrine Society",6,"2990"
"Oriental Scientific Publishing Company",6,"2935"
"Enviro Research Publishers",6,"2342"
"American Society for Engineering Education",6,"1743"
"University of Baghdad",6,"1635"
"American Statistical Association",6,"894"
"TUBITAK",6,"742"
"Excerpta Medica",6,"624"
"Xia & He Publishing",6,"601"
"Discover STM Publishing Ltd",6,"496"
"Universidad de Costa Rica",6,"423"
"Necmettin Erbakan Üniversitesi",6,"415"
"Universiti Sains Malaysia",6,"362"
"Health and Medical Publishing Group",6,"294"
"Universidad Politécnica Salesiana",6,"249"
"Global Science Press",6,"246"
"National Council of Teachers of Mathematics",6,"200"
"Endocrinology Research Centre",6,"191"
"Radcliffe Group",6,"188"
"Farname Inc",6,"178"
"Shiraz University",6,"173"
"Slovak Academic Press Ltd",6,"149"
"Alzahra University",6,"133"
"Pontificia Univ Javariana",6,"125"
"CIC Edizioni Internazionali s.r.l.",6,"122"
"Science Alert",6,"122"
"Kurdistan University of Medical Sciences",6,"114"
"Universidade Federal do Rio Grande do Sul",6,"94"
"The Institute of Electrical Engineers of Japan",6,"86"
"Virtus Interpress",6,"78"
"Academy Publisher",6,"73"
"Gorgan University of Agricultural Sciences and Natural Resources",6,"65"
"Wireilla Scientific Publications",6,"64"
"Kamla-Raj Enterprises",6,"57"
"Nanjing University of Aeronautics an Astronautics",6,"57"
"Zaslavsky",6,"55"
"King Abdulaziz University Scientific Publishing Center",6,"52"
"Indiana University",6,"45"
"National Council of Teachers of English",6,"45"
"Editura Academiei Romane",6,"39"
"Jagiellonian University",6,"39"
"World Academic Publishing",6,"32"
"UNIVERSIDAD EAFIT",6,"31"
"Royal Irish Academy",6,"28"
"McMaster University Library Press",6,"26"
"International Technology and Science Publication",6,"23"
"SciTechz Group",6,"22"
"Index Copernicus International",6,"19"
"Verizona Publisher",6,"19"
"Scientific Online Publishing",6,"15"
"AMSE Press",6,"13"
"British Psychological Society",6,"12"
"Izdatelstvo Meditsina",6,"12"
"Societa Editrice il Mulino",6,"12"
"Institutional Investor, Inc",6,"11"
"University of Lund",6,"10"
"Remedica Medical Education and Publishing",6,"8"
"Editions EHESS: Ecole des Hautes Etudes en Sciences Sociales",6,"7"
"University of Iowa",6,"4"
"Tishreen University",6,"3"
"Editions Medecine et Hygiene",6,"2"
"Igaku-Shoin Ltd",6,"2"
"Izdatel'stvo Meditsina",6,"2"
"Research Publisher",6,"2"
"The Company of Biologists",5,"9185"
"Royal Meteorological Society",5,"5065"
"American Psychiatric Association Publishing",5,"4343"
"American Heart Association",5,"3739"
"European Society of Cardiology",5,"3391"
"Universidade Estadual Paulista Júlio de Mesquita Filho",5,"2813"
"American Phytopathological Society",5,"2735"
"Gesellschaft Deutscher Chemiker",5,"2612"
"EMW Publishing",5,"2547"
"Ivyspring International Publisher",5,"2381"
"American Diabetes Association Inc.",5,"2372"
"Taylor's University",5,"2176"
"American Thoracic Society",5,"1839"
"FEMS - Federation of European Microbiological Societies",5,"1694"
"Scientific and Research Council of Turkey (TUBITAK)",5,"1598"
"EMBO",5,"1488"
"CMAJ Group",5,"1379"
"Royal College of Psychiatrists",5,"1218"
"American Society for Pharmacology and Experimental Therapeutics",5,"850"
"Science in China Press",5,"572"
"MGES Journals",5,"563"
"Net Journals",5,"563"
"Isfahan University of Medical Sciences(IUMS)",5,"545"
"Kauno Technologijos Universitetas",5,"521"
"Universitas Sebelas Maret",5,"453"
"Allen Press Inc.",5,"435"
"Politechnica University of Bucharest",5,"404"
"Codon Publications",5,"382"
"Canadian Psychological Association",5,"344"
"Agricultural Research Communication Centre",5,"325"
"Budapest University of Technology and Economics",5,"314"
"Wageningen Academic Publishers",5,"278"
"Sciedu Press",5,"238"
"Semnan University of Medical Sciences",5,"201"
"Bioinfo Publications",5,"181"
"University of Alicante",5,"180"
"Co-Action Publishing",5,"178"
"Universidade Estadual de Maringa",5,"169"
"National Research Mordovia State University",5,"164"
"Sociedade Brasileira de Computacao",5,"156"
"Vilnius University",5,"138"
"Dowden Health Media,Inc",5,"137"
"Alexandru Ioan Cuza University of Iasi",5,"113"
"University of the Philippines Los Banos",5,"111"
"German Medical Science",5,"94"
"Verlag Hans Huber",5,"92"
"Arizona State University",5,"86"
"BePress",5,"86"
"Praise Worthy Prize",5,"86"
"HMP Communications",5,"79"
"Institute of Advanced Scientific Research",5,"73"
"Advanced Institute of Convergence Information Technology Research Center",5,"71"
"NIHR Journals Library",5,"68"
"Sumy State University",5,"56"
"Universidade Estadual de Londrina",5,"55"
"International Institute of Social and Economic Sciences  (IISES)",5,"52"
"AboutScience Srl",5,"51"
"Shahid Beheshti University of Medical Sciences",5,"47"
"SpringerOpen",5,"47"
"Gazi Universitesi",5,"38"
"Universidad de Chile",5,"38"
"Universitas Negeri Malang",5,"37"
"National Academy of Sciences of Ukraine",5,"35"
"Universidad de Concepcion",5,"35"
"Longwoods Publishing",5,"32"
"Purdue University Press",5,"32"
"University of Sydney",5,"32"
"Universidad de Salamanca",5,"30"
"University of North Carolina Press",5,"28"
"American Library Association",5,"27"
"Universidade Estadual de Campinas UNICAMP",5,"26"
"University of Texas Press",5,"23"
"International Scholars Journals",5,"22"
"Waxmann Verlag GMBH",5,"22"
"Medpharm Publications",5,"20"
"Peoples' Friendship University of Russia (RUDN University)",5,"20"
"McGill University",5,"19"
"Faculty of Agriculture, Universitas Sebelas Maret",5,"18"
"Heldermann Verlag",5,"18"
"Pinnacle Publishing, LLC",5,"18"
"Duncker und Humblot GmbH",5,"13"
"Permanyer",5,"13"
"Transnational Press London",5,"12"
"Bailliere Tindall Ltd",5,"8"
"NADIA Journal Publication",5,"8"
"Journals pub",5,"6"
"Science and Engineering Research Support Society",5,"4"
"Kyushu University, Faculty of Science",5,"2"
"Uitgeverij Verloren",5,"2"
"British Institute of Radiology",4,"10432"
"British Editorial Society of Bone & Joint Surgery",4,"8443"
"Society of Chemical Industry",4,"8434"
"American Ceramic Society (ACERS)",4,"8344"
"Society of Plastics Engineers",4,"7896"
"International Federation of Automatic Control (IFAC)",4,"7247"
"American Academy of Neurology",4,"7216"
"American College of Rheumatology",4,"5866"
"Society of Exploration Geophysicists",4,"5435"
"Federation of European Biochemical Societies",4,"4764"
"Ecological Society of America",4,"4760"
"International Union of Biochemistry and Molecular Biology",4,"3671"
"The Minerals, Metals & Materials Society",4,"2826"
"GRINM BOHAN PUBLISHING CO LTD",4,"2704"
"American Society for Nutrition",4,"2682"
"American Academy of Pediatrics",4,"2620"
"Society for Applied Microbiology",4,"2415"
"Radiological Society of North America Inc.",4,"2227"
"Magnolia Press",4,"2200"
"Mayo Clinic",4,"1491"
"Political Studies Association",4,"1255"
"European Scientific Institute, ESI",4,"1133"
"The American Society of Heating, Refrigerating and Air-Conditioning Engineers (ASHRAE)",4,"1067"
"Engineered Science Publisher",4,"1050"
"Sultan Qaboos University",4,"1024"
"Huazhong University of Science and Technology",4,"705"
"Prince of Songkla University",4,"666"
"American Association of Neurological Surgeons",4,"633"
"Universidade do Estado do Rio de Janeiro",4,"622"
"Wroclaw Medical University",4,"607"
"Tianjin Daxue/Tianjin University",4,"598"
"ITB Journal",4,"587"
"Kuwait University",4,"550"
"Modestum LTD",4,"526"
"World Academy of Science Engineering and Technology",4,"520"
"National Institute of Environmental Health Sciences (NIEHS)",4,"516"
"International Communication Association",4,"497"
"Pouyan Press",4,"496"
"West Asia Organization for Cancer Prevention, APOCP's West Asia Chapter",4,"481"
"Adis International Ltd",4,"458"
"De la Salle University",4,"409"
"Open Exploration Publishing",4,"352"
"Hamadan University of Medical Sciences",4,"307"
"Materials and Energy Research Center",4,"280"
"American Fisheries Society",4,"254"
"Fundacion Infancia y Aprendizaje",4,"253"
"ERP Environment",4,"250"
"Mazandaran University of Medical Sciences",4,"244"
"Iran University of Science and Technology",4,"237"
"Pharmaceutical Society of Japan",4,"233"
"Shiraz University of Medical Sciences",4,"211"
"National Association of Social Workers",4,"199"
"Akademia Baru",4,"198"
"L & H Scientific Publishing",4,"183"
"Slovak Academy of Sciences",4,"180"
"North Atlantic University Union NAUN",4,"178"
"Masaryk University",4,"171"
"Verlag Eugen Ulmer",4,"165"
"Fuji Technology Press",4,"153"
"University of Ljubljana",4,"146"
"Universidade Federal de Uberlandia",4,"145"
"Universidade Federal De Goias (UFG)",4,"141"
"Hacettepe University",4,"140"
"Universidad Autonoma Metropolitana-Iztapalapa",4,"132"
"Universidad de La Sabana",4,"129"
"Marmara University",4,"127"
"Polish Botanical Society",4,"127"
"Gebruder Borntraeger Verlagsbuchhandlung",4,"117"
"Indian Journals",4,"117"
"Quadrant Healthcom Inc.",4,"110"
"Universidad de Murcia Servicio de Publicaciones",4,"106"
"National University of Singapore",4,"102"
"Academia Sinica",4,"99"
"Galenos Publishing",4,"99"
"Museum National d'Histoire Naturelle",4,"91"
"Athens Institute for Education & Research",4,"86"
"Ankara University",4,"78"
"University of Birjand",4,"70"
"Universidad del Pais Vasco",4,"68"
"Polish Geological Institute",4,"66"
"Veritas Publications",4,"66"
"JCB Mohr",4,"63"
"University of Sindh",4,"63"
"Editorial Universidad de Granada",4,"54"
"London Mathematical Society",4,"53"
"Universidad de los Andes 1",4,"53"
"Servicio de Publicaciones de la Universidad De Navarra",4,"51"
"Wayne State University Press",4,"51"
"Public Health Agency of Canada",4,"50"
"University of Novi Sad",4,"50"
"Society of Naval Architects and Marine Engineers",4,"48"
"Scientific Publishers of India",4,"47"
"Regional Information Center for Science and Technology",4,"45"
"University of Szeged",4,"44"
"Zhejiang University Press",4,"44"
"IEEE Circuits and Systems Society",4,"43"
"Refaad",4,"41"
"Gatha Cognition",4,"40"
"Universidad Nacional de La Plata",4,"40"
"Academic Star Publishing Company",4,"39"
"Lembaga Penelitian dan Pengabdian kepada Masyarakat Universitas Riau",4,"39"
"UTS ePRESS",4,"39"
"Landes Bioscience",4,"33"
"Slavica Publishers",4,"31"
"Wichtig Publishing",4,"30"
"Iraqi Academic Scientific Journals",4,"29"
"American Real Estate Society",4,"28"
"SEEd Medical Publishers",4,"27"
"Universidad de Murcia",4,"27"
"Universitas Indonesia",4,"26"
"Royal Institution of Naval Architects",4,"25"
"Rainer Hampp Verlag",4,"24"
"Sukkur IBA University",4,"24"
"University of Calgary Press",4,"24"
"University of Bucharest",4,"23"
"Advanced Research Journals",4,"22"
"Kent State University",4,"21"
"Universidad Central de Venezuela",4,"21"
"Bond University",4,"20"
"Future Medicine",4,"20"
"University of Pennsylvania Press",4,"20"
"Hermes Science Publishing Ltd",4,"19"
"Readers Insight Publisher",4,"18"
"Universidade Federal Fluminense",4,"18"
"Nomos Verlagsgesellschaft mbH und Co",4,"17"
"Universidad Nacional de Cuyo",4,"17"
"Sakarya University",4,"16"
"ARC Publications",4,"15"
"Savvy Science Publisher",4,"15"
"United Scientific Group",4,"13"
"Masson Publishing",4,"12"
"Medical Information Center",4,"12"
"Erciyes University",4,"11"
"Polish Mathematical Society",4,"11"
"Intellect Books",4,"10"
"University of Oxford",4,"10"
"LexisNexis",4,"8"
"Universidad Centroccidental Lisandro Alvarado (UCLA)",4,"8"
"Universidade Estadual Paulista (UNESP)",4,"8"
"Veruscript",4,"8"
"Manchester University Press",4,"7"
"Mediterranean Journals",4,"7"
"Serials Publications",4,"6"
"International Association of Engineers",4,"5"
"Sweet and Maxwell Ltd.",4,"5"
"Ediciones Ergon SA",4,"4"
"Humana Press",4,"4"
"UCL Press",4,"4"
"University of Auckland",4,"4"
"W. Szafer Institute of Botany",4,"4"
"Asclepius Open Medical Journals",4,"3"
"Radcliffe Publishing",4,"3"
"Smithsonian Institution Scholarly Press",4,"3"
"Southern Caucus Media Group",4,"3"
"Deutscher Kunstverlag GmbH",4,"2"
"Harvard Health Publication Group",4,"2"
"Medical Communications",4,"2"
"American Association for the Study of Liver Diseases",3,"9051"
"Nordic Society Oikos",3,"5921"
"Universidade Federal de Santa Maria",3,"5843"
"Institute of Food Technologists",3,"5133"
"American Society of Nephrology",3,"4714"
"American Cancer Society",3,"4637"
"International Literacy Association",3,"4365"
"Royal Pharmaceutical Society",3,"4147"
"The Nutrition Society",3,"4053"
"American Association of Anatomists",3,"3522"
"American Society for Biochemistry and Molecular Biology",3,"3261"
"Universidade de São Paulo",3,"3024"
"World Obesity",3,"2441"
"American Society of Hematology",3,"2193"
"Rockefeller University Press",3,"2059"
