"Publishers","Journals"
"Aalborg Universitetsforlag",16
"University of Pennsylvania Press (Penn Press)",15
"Universidad de Navarra",15
"Universidad Santo Tomás",15
"Universidad Pedagógica y Tecnológica de Colombia",15
"SAE International",15
"Kamla-Raj Enterprises",15
"Faculty of Arts",15
"Enliven Archive",15
"Elyns Publishing Group",15
"Cosmos Scholars Publishing House",15
"Clute Institute",15
"Centre for Research on Islamic Banking & Finance and Business",15
"Adis",15
"Università degli Studi di Torino",14
"National Natural Science Foundation of China",14
"Ludovika University Press",14
"Institute of Advanced Engineering and Science",14
"Hipatia Press",14
"e-Century Publishing",14
"East African Nature and Science Organization",14
"Cogent OA",14
"Chinese Academy of Sciences",14
"American Heart Association",14
"Addleton Academic Publishers",14
"University of Texas Press",13
"University of Novi Sad",13
"University of Huddersfield Press",13
"Universidad de Jaén",13
"Symbiosis Group",13
"Springer VS",13
"Slack",13
"Scienpress",13
"Science-line Publishers",13
"Pontifical University of John Paul II in Krakow Press",13
"Polish Academy of Sciences",13
"Paris Legal Publishers",13
"KeAi Communications",13
"Institute of Mathematical Statistics",13
"Informing Science Institute",13
"IAFOR (International Academic Forum)",13
"Hammill Institute on Disabilities",13
"German Medical Science",13
"American Accounting Association",13
"Academic Research Publishing Group",13
"AME Publishing",13
"UTS ePRESS",12
"Tübitak Dergi Park",12
"Tabriz University of Medical Sciences",12
"Stockholm University Press",12
"Society of Photo-optical Instrumentation Engineers",12
"Scholars Academic and Scientific Society Publishers",12
"RCN Publishing (RCNi)",12
"Public Library of Science",12
"North American Business Press",12
"Merit Research Journals",12
"London Mathematical Society",12
"LED Edizioni Universitarie",12
"Høgskolen i Oslo og Akershus",12
"Georgia Southern University",12
"Franz Steiner Verlag",12
"ediPUCRS",12
"Ernst und Sohn",12
"Emanuscript Services",12
"Elmer Press",12
"Editora UEPG",12
"ClinMed International Library",12
"Cappelen Damm Akademisk",12
"Armand Colin",12
"American Scientific Publishers",12
"American Meteorological Society",12
"Urban and Vogel",11
"University of Tartu Press",11
"University of Florida Press",11
"Universidade do Sul de Santa Catarina",11
"Universidade de São Paulo",11
"The Royal Society",11
"Synergy Publishers",11
"Suomalaisen Kirjallisuuden Seura",11
"Serenity-Group",11
"Septentrio Academic Publishing",11
"Purdue University Press",11
"Publishing House Zaslavsky",11
"PsychOpen",11
"Prime Scholars Library",11
"Lifescience Global",11
"LibraryPress@UF",11
"Law Center",11
"John Paul II Catholic University of Lublin",11
"International Medical Publisher",11
"Indian Academy of Sciences",11
"Cloud Publications",11
"BioScientifica",11
"American Institute of Aeronautics and Astronautics",11
"<U+0410><U+0411><U+0412>-<U+043F><U+0440><U+0435><U+0441><U+0441>",10
"Volgograd State University",10
"Universidade Federal do Estado do Rio de Janeiro",10
"Universidad del Rosario",10
"Universidad Nacional de Rosario",10
"Stichting OpenAccess",10
"Springer Berlin Heidelberg",10
"Sebelas Maret University",10
"Publications scientifiques du Muséum national d'Histoire naturelle",10
"National Communication Association",10
"Medip Academy",10
"Linköpings University Electronic Press",10
"Liguori Editore",10
"Knowledge E",10
"King Saud University",10
"Islamic Azad University",10
"International Union of Crystallography",10
"Faculty of Agriculture",10
"Blue Eyes Intelligence Engineering and Sciences Publication",10
"American Library Association",10
"Accademia University Press",10
"Wydawnictwo Uniwersytetu Ekonomicznego we Wroclawiu",9
"World Health Organization",9
"WIT Press",9
"Vilnius Gediminas Technical University Press",9
"University of Wales Press",9
"University of Ottawa",9
"Universitas Pelita Harapan",9
"Universitas Pattimura",9
"Universidad de La Rioja",9
"Spandidos Publications",9
"SciPress",9
"Policy Studies Organization",9
"Policy Press",9
"openjournals.nl",9
"Open Journals Nigeria",9
"OAE Publishing",9
"Mathematical Sciences Publishers (MSP)",9
"LexisNexis Australia",9
"International Federation of Automatic Control (IFAC)",9
"Inter Research",9
"Infopro Digital Services",9
"IMR Press",9
"IJS Publishing Group",9
"Hayward",9
"Geological Society of America",9
"European Association for Signal Processing",9
"Editura Universitara Danubius",9
"Dipartimento delle Arti",9
"Consortium Publisher",9
"Chitkara University Publications",9
"Cardiff University Press",9
"Avanti Publishers",9
"American Statistical Association",9
"American Sociological Association",9
"ASM International",9
"Wayne State University Press",8
"University of Wisconsin Press",8
"University of Warsaw",8
"University of Messina",8
"Universidade de Aveiro",8
"Universidade Estadual de Campinas",8
"Universidad Peruana Cayetano Heredia",8
"The Ohio State University: University Libraries",8
"Royal Society of New Zealand",8
"Royal Meteorological Society",8
"Riga Technical University",8
"Queen's University",8
"Michigan State University Press",8
"Maximum Academic Press",8
"Maria Curie-Sklodowska University",8
"Lawtext Publishing",8
"Ivyspring International Publisher",8
"International Academy of Ecology and Environmental Sciences (IAEES)",8
"Instytut Slawistyki",8
"Instituto de Historia",8
"Institut für Technologie und Management",8
"Informatics Publishing",8
"Centro de Profesorado Sagrada Familia de Ubenda",8
"Budapest University of Technology and Economics",8
"Brepols Publishers",8
"Bastas Publications",8
"Australian International Academic Centre (AIAC)",8
"American Economic Association",8
"American Association for Cancer Research",8
"Academy of Management",8
"Viella editrice",7
"Università degli studi di Cagliari",7
"University of Oklahoma Libraries",7
"University of Kragujevac",7
"Universitatea de Stiinte Agronomice si Medicina Veterinara - Bucuresti",7
"Universitat de Barcelona",7
"Universidad de La Sabana",7
"Universidad Industrial de Santander",7
"Universidad EAFIT",7
"UNICApress",7
"South African Medical Association",7
"Shiraz University",7
"Scientific Foundation SPIROSKI",7
"ScienceQ Publishing Group",7
"Royal Entomological Society",7
"Research Online Publishing (ROnPub)",7
"Readers Insight Publisher",7
"Radcliffe Medical Media",7
"Portland Press",7
"PC Technology Center",7
"Odessa National Academy of Food Technologies",7
"Novus forlag",7
"New Century Science Press",7
"Modern Humanities Research Association (MHRA)",7
"Instytut Matematyczny",7
"Institute of Mathematics and its Applications",7
"IMED",7
"Human Resource Management Academic Research Society",7
"FF Open Press",7
"Episciences.org",7
"Entomological Society of America",7
"Edorium Journals",7
"CISP Press",7
"British Ecological Society",7
"Biochemical Society",7
"Bina Nusantara University",7
"Bernoulli Society for Mathematical Statistics and Probability",7
"Association for the Advancement of Computing in Education",7
"American Phytopathological Society",7
"American Astronomical Society",7
"ASTM International",7
"AIJR Publisher",7
"Wounds UK",6
"Western Michigan University",6
"Wageningen Academic Publishers",6
"Vittorio Klostermann",6
"Virtus Interpress",6
"Virginia Tech Libraries",6
"Versita",6
"University of Windsor",6
"University of Westminster Press",6
"University of Rijeka",6
"University of Debrecen",6
"Universidade de Fortaleza",6
"Universidade de Caxias do Sul",6
"Universidade Federal do Rio Grande do Norte",6
"Universidade Comunitária Regional de Chapecó",6
"Universidad de Sevilla",6
"Universidad Complutense de Madrid",6
"Universidad Católica Luis Amigó",6
"Universidad Andina Simón Bolívar",6
"Turpion Limited",6
"Tsinghua University Press",6
"Transnational Press London",6
"The Electrochemical Society",6
"T.M.C Asser Press",6
"Senckenberg Gesellschaft für Naturforschung",6
"Schloss Dagstuhl - Leibniz-Zentrum für Informatik",6
"Saints Cyril and Methodius University of Skopje",6
"Royal Irish Academy",6
"Royal College of Psychiatrists",6
"RTI Press",6
"Qatar University Press",6
"Oriental Scientific Publishing Company",6
"OmniaMed Communications",6
"Oikos Editorial Office",6
"Nova Southeastern University",6
"Northumbria University Library",6
"Newlands Press",6
"NIHR Journals Library",6
"Middle Tennessee State University",6
"Microbiology Society",6
"Materials Research Society",6
"KSP Journals",6
"International Center for Research, Education and Training NGO",6
"Infinity Press",6
"Imprint Academic",6
"Human Factors and Ergonomics Society",6
"Gesellschaft Deutscher Chemiker",6
"German Institute of Global and Area Studies",6
"Fundación Universitaria Juan de Castellanos",6
"Facultad de Filosofía y Humanidades",6
"European Society of Cardiology",6
"Eurasian Society of Educational Research",6
"Edward Elgar Publishing",6
"Ecological Society of America",6
"Eagle Hill Institute",6
"EU European Publishing",6
"EMH Swiss Medical Publishers",6
"Dental Investigations Society",6
"Crop Science Society of America",6
"Codon Publications",6
"Castledown Publishers",6
"Bergen Open Access Publishing",6
"Bendola Publishing",6
"American Speech-Language-Hearing Association",6
"American Society for Pharmacology and Experimental Therapeutics (ASPET)",6
"American Fisheries Society",6
"AboutScienceSrl",6
"ASERS Publishing",6
"Érudit",5
"White Rose University Press",5
"White Horse Press",5
"Varna Medical University Press",5
"University of South Florida",5
"University of Niš",5
"Universitas 17 Agustus 1945 Surabaya",5
"Universidade Federal do Paraná",5
"Universidad de Cadiz",5
"Universidad de Antioquia",5
"Universidad de Alicante",5
"Universidad ICESI",5
"Universidad Distrital Francisco José de Caldas",5
"Universidad Cooperativa de Colombia",5
"United Scientific Group",5
"United Academic Journals",5
"Unicuritiba",5
"The Company of Biologists",5
"Sumy State University",5
"Stellenbosch University",5
"Soil Science Society of America",5
"Society of Petroleum Engineers (SPE)",5
"Society of Chemical Industry",5
"Society for Experimental Biology",5
"Society for Endocrinology",5
"Society for Applied Microbiology",5
"SUNY Press",5
"Royal Pharmaceutical Society of Great Britain",5
"Research Centre for Management and Social Studies",5
"RedFame Publishing",5
"Psychonomic Society",5
"Portland State University Library",5
"Ponteditora",5
"Polskie Towarzystwo Botaniczne",5
"Political Studies Association",5
"Polessky State University",5
"OmniaScience",5
"National Aviation University",5
"NTNU Open Access Journals",5
"Mount Royal University Library",5
"Medicine Publishing",5
"MedPharm Publications",5
"Maya Global Education Society",5
"Magnolia Press",5
"Ledizioni",5
"King Abdulaziz City for Science and Technology",5
"Kerman University of Medical Sciences",5
"Kare Publishing",5
"KAJ Printing",5
"Journal Issues Limited",5
"i-Proclaim",5
"Isfahan University of Medical Sciences",5
"International Union of Biochemistry and Molecular Biology (IUBMB)",5
"International Society for Horticultural Science (ISHS)",5
"International Communication Association",5
"International Association of Online Engineering (IAOE)",5
"Integrated Publishing Association",5
"Instituto Tecnológico Metropolitano",5
"Institute of Electronics, Information and Communication Engineers",5
"Institut national de recherche pour l’agriculture, l’alimentation et l’environnement",5
"Imperial College Press",5
"IISS",5
"Hong Kong Academy of Medicine Press",5
"Gemilang Maju Publikasi Ilmiah",5
"Gabler Verlag",5
"G.K. Chesterton Institute for Faith and Culture",5
"Federation of European Microbiological Societies",5
"Faculty of Humanities and Social Sciences",5
"European Society of Endocrinology",5
"European Physical Society",5
"DiscoverSys",5
"Direct Research Journals",5
"Dipartimento di Scienze Dell'Educazione «Giovanni Maria Bertin»",5
"CSRC Publishing, Center for Sustainability Research and Consultancy Pakistan",5
"CHAM - Centro de Humanidades",5
"British Institute of Radiology",5
"British Editorial Society of Bone and Joint Surgery",5
"Borntraeger Science Publishers",5
"Belarusian National Technical University",5
"BCS, The Chartered Institute for IT",5
"Athabasca University Press",5
"Association for the Sciences of Limnology and Oceanography (ASLO)",5
"Association for Psychological Science",5
"Association for Information Systems",5
"Anadolu University",5
"American Thoracic Society",5
"American Society of Clinical Oncology",5
"American Educational Research Association",5
"American Diabetes Association",5
"American Association of Pharmaceutical Scientists",5
"American Academy of Neurology (AAN)",5
"Academic Conferences and Publishing International",5
"Academia Verlag",5
"ANU Press",5
"Zeta Books",4
"Wroclaw Medical University Press",4
"Vital Biotech",4
"Université de Montréal",4
"University of Winnipeg",4
"University of Priština",4
"University of Karachi",4
"University of Kansas Libraries",4
"University of Illinois at Chicago Library",4
"University of Girona",4
"University of Debrecen",4
"Universidade de Lisboa",4
"Universidade Nove de Julho (UNINOVE)",4
"Universidad del Magdalena",4
"Universidad de Oriente",4
"Universidad de Las Palmas de Gran Canaria",4
"Universidad de Granada",4
"Universidad UTE",4
"Universidad Técnica de Manabí",4
"Universidad Tecnológica Metropolitana",4
"Universidad Nacional de Trujillo",4
"Universidad Católica Santo Toribio de Mogrovejo",4
"United Scholars",4
"The Royal Geographical Society (with the Institute of British Geographers)",4
"The Ohio State University",4
"Srinivas University",4
"Srinivas Publication",4
"Société de Mathématiques Appliquées et Industrielles",4
"Society of Digital Information and Wireless Communications (SDIWC)",4
"Society for Healthcare & Research Development",4
"Slovak University of Agriculture in Nitra",4
"SciPost",4
"SHAPE America",4
"SEEd Medical Publishers",4
"Royal Danish Library",4
"Royal Astronomical Society",4
"Research and Development Academy",4
"Renu Publishers",4
"Publicaciones DYNA",4
"ProgHist",4
"Presidium",4
"Politechnika Lubelska",4
"Pharmacognosy Network Worldwide",4
"OpenED Network",4
"Open Exploration",4
"OR Society",4
"Nutrition Society",4
"National Research Ogarev Mordovia State University",4
"National Association for Music Education",4
"Museu de Ciències Naturals de Barcelona",4
"Ministere de l'Enseignement Superieur et de la Recherche",4
"Mansa STM publishers",4
"Manchester University Press",4
"Longwoods Publishing",4
"London School of Economics and Political Science",4
"Levy Library Press",4
"La Corporación Universitaria Iberoamericana",4
"Jossey-Bass",4
"International Society of Electrochemistry (ISE)",4
"International Society for Photogrammetry and Remote Sensing",4
"International Association of Applied Psychology",4
"Instituto de Lengua, Literatura y Antropología",4
"Instituto Universitario de Innovación Ciencia y Tecnología Inudi Perú",4
"Instituto Brasileiro de Pesquisa e Ensino em Fisiologia do Exercício (IBPEFEX)",4
"Institut für Architektur",4
"Institut Teknologi Bandung, School of Business and Management",4
"Institucion Universitaria Politecnico Grancolombiano",4
"IberAM",4
"Higher Education Press",4
"Heidelberg University Publishing (heiUP)",4
"Göteborgs Universitet",4
"Federation of European Biochemical Societies",4
"Fakultas Hukum",4
"Faculdade de Teologia",4
"Expert Journals",4
"European Scientific Institute",4
"European Respiratory Society",4
"European Publisher",4
"Enviro Research Publishers",4
"Engg Journals Publications",4
"Endocrine Society",4
"Electron Devices Society",4
"Ediciones Universidad de Valladolid",4
"ERP Environment",4
"EMBO Press",4
"Dougmar Publishing Group",4
"Dipartimento di Lingue, Letterature e Culture Moderne",4
"Dipartimento di Filologia Classica e Italianistica",4
"DECHEMA",4
"Cold Spring Harbor Laboratory Press",4
"Cogitatio Press",4
"Chinese Physical Society",4
"Canadian Medical Association",4
"Canadian Institute For Knowledge Development",4
"CIB: International Council for Research and Innovation in Building and Construction",4
"British Veterinary Association",4
"Bowling Green State University",4
"Bellweather Publishing",4
"Australian Psychological Society",4
"Association for the Study of Obesity",4
"Association for Symbolic Logic",4
"Asian Business Consortium",4
"American Vacuum Society",4
"American Society of Plant Biologists",4
"American Society of Agronomy",4
"American Society of Agricultural and Biological Engineers",4
"American Society for Horticultural Science",4
"American Society for Composites",4
"American Psychiatric Publishing",4
"American Institute of Chemical Engineers (AIChE)",4
"American Counseling Association",4
"American College of Sports Medicine (ACSM)",4
"Alexandru Ioan Cuza University Press",4
"AkiNik Publications",4
"Acoustical Society of America",4
"Zoological Society of London",3
"Zhejiang University Press",3
"Yildiz Technical University",3
"Wydawnictwo Naukowe Uniwersytetu Kardynala Stefana Wyszynskiego w Warszawie",3
"Wuhan University",3
"Wildlife Society",3
"WikiJournal User Group",3
"Westburn Publishers",3
"Weed Science Society of America",3
"Warsaw University of Technology",3
"Univerzita Karlova",3
"Université du Québec à Montréal",3
"Universität Graz",3
"University of the Free State",3
"University of Zielona Góra",3
"University of Notre Dame",3
"University of New South Wales",3
"University of Montenegro",3
"University of Massachusetts Medical School",3
"University of Massachusetts",3
"University of Leicester Open Journals",3
"University of Guelph",3
"University of Debrecen Faculty of Economics",3
"University of Buckingham Press",3
"University Josip Juraj Strossmayer Osijek",3
"University Council for Educational Administration",3
"Universitetet i Oslo",3
"Universitat Politècnica de Catalunya",3
"Universitas Surabaya",3
"Universitas Islam Negeri Syarif Hidayatullah Jakarta",3
"Universitas Indonesia",3
"Universidade do Minho",3
"Universidade do Algarve",3
"Universidade Federal da Paraíba",3
"Universidade Estadual de Montes Claros",3
"Universidade Estadual Paulista",3
"Universidade Católica Editora",3
"Universidad de la República del Uruguay",3
"Universidad de Guadalajara",3
"Universidad de Chile",3
"Universidad Tecnológica de Panamá",3
"Universidad Peruana de Ciencias Aplicadas",3
"Universidad Nacional de La Plata",3
"Universidad Nacional Autónoma de México",3
"Universidad Católica de Salta",3
"Universidad Autónoma de Madrid",3
"Universidad Autonoma del Estado de Mexico",3
"Universidad Americana",3
"UNESCO",3
"The University of Arizona Libraries",3
"The Donner Institute",3
"Textile Institute",3
"Teratology Society",3
"TARU Publications",3
"Sveucilišta Jurja Dobrile u Puli",3
"Springer Vieweg Verlag",3
"Society of Plastics Engineers",3
"Society of Nuclear Medicine",3
"Society of Exploration Geophysicists",3
"Society of Critical Care Medicine",3
"Society of Biblical Literature",3
"Society of American Foresters",3
"Society for the Psychological Study of Social Issues",3
"Society for Research in Child Development",3
"Society for Personality and Social Psychology (SPSP)",3
"Society for Financial Studies",3
"Society for Conservation Biology",3
"Society for American Archaeology (SAA)",3
"Sociedade Brasileira de Computação",3
"Smile Nation - Lets Smile Together",3
"Slovak University of Technology",3
"Sissa Medialab",3
"Sheffield Hallam University",3
"Seismological Society of America",3
"Seismo Verlag",3
"Scientist Link Group of Publications",3
"SciCell",3
"Scholedge R&D Center (formerly Scholedge Publishing)",3
"Russian Union of Paediatricians (Paediatrician Publishers LLC)",3
"Russian Psychological Society",3
"Royal Swedish Academy of Sciences",3
"Royal Statistical Society",3
"Royal Institute of Philosophy",3
"Royal College of General Practitioners",3
"Rockefeller University Press",3
"Robotics and Automation Society",3
"Renaissance Society of America",3
"Regional Studies Association",3
"Regional Euro-Asian Biological Invasions Centre (REABIC)",3
"Radiological Society of North America",3
"RS Global Sp. z O.O.",3
"Quintessence Publishing",3
"Queensland University of Technology",3
"Prime Minister's Office",3
"Practical Action Publishing",3
"Polish Psychiatric Association Editorial and Publishing Committee",3
"Pharmainfo Publications",3
"Penerbit Universiti Teknologi Malaysia Press",3
"Pascasarjana Universitas Negeri Malang",3
"Padova University Press",3
"POLEN",3
"Oekom Verlag",3
"Nordic Association of Agricultural Scientists (NJF)",3
"Naturfagsenteret",3
"National Research University Higher School of Economics",3
"National Council on Family Relations",3
"National Bureau of Economic Research",3
"NASEN",3
"Montenegrin Sports Academy",3
"Mohr Siebeck",3
"Modern Science Publishers",3
"Minerals, Metals and Materials Society (TMS)",3
"Mineralogical Society of America",3
"Medworld Asia Publications",3
"Mathematical Association of America (MAA)",3
"Masaryk University",3
"Marina Sokolova Publishings (<U+0418><U+041F> <U+0421><U+043E><U+043A><U+043E><U+043B><U+043E><U+0432><U+0430> <U+041C><U+0430><U+0440><U+0438><U+043D><U+0430> <U+0412><U+043B><U+0430><U+0434><U+0438><U+043C><U+0438><U+0440><U+043E><U+0432><U+043D><U+0430>)",3
"Lucian Blaga University of Sibiu",3
"Linnean Society of London",3
"Linguistic Society of America",3
"Librello",3
"Lectito",3
"Kazan Federal University",3
"Kambohwell Publisher Enterprises",3
"John Libbey Eurotext",3
"Jagiellonian University",3
"Iranian Association of Environmental Health (IAEH)",3
"International Statistical Institute",3
"International Society for Magnetic Resonance in Medicine",3
"International Literacy Association",3
"International Institute of Anticancer Research",3
"International Information and Engineering Technology Association",3
"International Geosynthetics Society (IGS)",3
"Instytut Badan Gospodarczych",3
"Instituto de Lenguas y Culturas del Mediterráneo y Oriente Próximo",3
"Institution of Electronics and Telecommunication Engineers",3
"Institute of Food Technologists",3
"Institute of Botany",3
"Institut français d’archéologie orientale du Cairo",3
"Impact Journals",3
"IMED Research Publications",3
"IMA - Press",3
"IJCAB Publishing Group",3
"Hrvatsko filozofsko društvo",3
"Hrvatsko filološko društvo",3
"Hong Kong Society for Transportation Studies",3
"Helsinki University Press",3
"Group of Companies Med Expert, LLC",3
"Global Talent Academy",3
"Gerontological Society of America",3
"German Multidisciplinary Publishing Center",3
"Geochemical Society",3
"Fundación Universitaria Española",3
"Fondazione per le scienze religiose Giovanni XXIII",3
"Finnish Society of Forest Science",3
"Filozofski fakultet u Rijeci",3
"Faculty of Philosophy",3
"Faculty of Law",3
"Faculty of Law",3
"Faculty of Economics and Business",3
"Facultad de Ciencias Sociales",3
"Facultad de Artes",3
"European Structural Integrity Society",3
"European Society of Radiology",3
"European Society of Human Reproduction and Embryology",3
"European Renal Association - European Dialysis and Transplant Association (ERA-EDTA)",3
"European Optical Society",3
"European Consortium for Political Research",3
"Eurasian Publications",3
"English Association",3
"Engineering in Medicine and Biology Society",3
"Edusoft",3
"Education Research and Rural Community Development Forum",3
"Ediciones Universidad Católica de Salta",3
"Econometric Society",3
"Ebu Press Ltd",3
"Eastern Communication Association",3
"EMAP",3
"Dustri-Verlag",3
"Durham University",3
"Deutsche Physikalische Gesellschaft",3
"Delft University of Technology",3
"Curtin University",3
"Croatian Sociological Association",3
"Consumer Technology Society",3
"Communications Society",3
"Combustion Institute",3
"Classical Association",3
"Chemical Society of Japan",3
"Centro de Investigação em Ciência e Tecnologia das Artes (CITAR)",3
"Centro de Estudos de Comunicação e Sociedade",3
"Centro de Estudos Sociais",3
"Centre for Business & Economic Research",3
"Centre National de la Recherche Scientifique",3
"Canadian Psychological Association",3
"Cambridge Political Economy Society",3
"CIRP",3
"British Sociological Association",3
"British Pharmacological Society",3
"British Mycological Society",3
"Botanical Society of America",3
"Bloomberg School of Public Health",3
"Baynoon Centre for Studies and Development",3
"Australian Mathematical Society",3
"Australasian Institute of Mining and Metallurgy",3
"Atlantis Press",3
"Association of Energy Engineers",3
"Association of College and Research Libraries",3
"Association of Applied Biologists",3
"Association for Research in Vision and Ophthalmology",3
